basari_sirasi,ayt_edebiyat,ayt_cografya1,toplam_net
2143.0,20.6,4.2,24.8
2255.0,20.0,4.4,24.4
2149.0,20.7,4.4,25.1
2267.0,20.1,4.2,24.3
3923.0,18.8,5.3,24.1
1993.0,21.2,3.9,25.1
2353.0,19.7,3.3,23.0
3894.0,17.5,5.3,22.8
2450.0,20.8,4.5,25.3
2374.0,20.2,4.1,24.3
3094.0,19.9,5.4,25.3
2429.0,20.5,4.3,24.8
2182.0,16.9,6.0,22.9
4465.0,20.6,4.6,25.200000000000003
2437.0,21.1,4.1,25.200000000000003
4087.0,19.4,4.9,24.3
2372.0,21.0,4.4,25.4
2465.0,20.2,4.0,24.2
2906.0,19.4,5.2,24.6
1568.0,20.5,2.5,23.0
2468.0,21.5,6.0,27.5
3497.0,17.0,6.0,23.0
2653.0,18.9,4.0,22.9
2793.0,18.7,4.0,22.7
3558.0,19.8,5.0,24.8
3447.0,20.6,4.6,25.200000000000003
2967.0,20.9,3.4,24.3
5397.0,17.2,4.9,22.1
2793.0,21.6,4.6,26.200000000000003
2995.0,20.2,4.4,24.6
4798.0,17.9,4.7,22.6
2706.0,20.2,4.3,24.5
3042.0,20.3,4.0,24.3
2456.0,19.7,5.1,24.8
3022.0,20.6,4.4,25.0
3221.0,19.8,4.3,24.1
6043.0,18.4,5.0,23.4
3225.0,20.5,4.4,24.9
3242.0,20.5,4.3,24.8
4387.0,19.5,5.0,24.5
1878.0,20.2,-0.2,20.0
3330.0,21.5,3.5,25.0
3969.0,15.5,4.8,20.3
3831.0,20.2,4.3,24.5
3353.0,20.0,4.0,24.0
7535.0,17.9,5.1,23.0
4159.0,17.3,3.5,20.8
3400.0,19.4,5.1,24.5
13150.0,16.8,3.9,20.7
3942.0,20.0,4.5,24.5
3470.0,19.9,4.2,24.1
6831.0,17.7,4.8,22.5
2028.0,20.2,5.1,25.3
3523.0,18.2,4.9,23.1
1563.0,20.9,5.5,26.4
2349.0,18.1,4.1,22.200000000000003
3578.0,18.0,4.6,22.6
9839.0,15.2,4.6,19.8
6247.0,19.6,4.7,24.3
3638.0,19.2,4.2,23.4
4105.0,18.6,4.7,23.3
6969.0,20.2,4.6,24.8
3664.0,20.3,4.5,24.8
5244.0,17.0,4.6,21.6
3356.0,20.4,4.3,24.7
3682.0,19.7,3.9,23.6
5196.0,20.8,5.6,26.4
4436.0,19.3,4.1,23.4
3821.0,19.3,4.2,23.5
4201.0,19.1,5.0,24.1
2223.0,21.2,4.1,25.3
4056.0,16.9,3.6,20.5
16098.0,19.8,4.7,24.5
4056.0,20.1,4.2,24.3
4090.0,19.8,4.1,23.9
6201.0,18.2,4.9,23.1
7963.0,18.7,3.8,22.5
4185.0,19.3,4.1,23.4
7173.0,19.5,4.9,24.4
4886.0,20.3,3.8,24.1
4364.0,20.2,3.5,23.7
5218.0,17.0,5.1,22.1
5695.0,20.4,4.1,24.5
4388.0,20.1,3.9,24.0
6906.0,18.9,4.9,23.8
10831.0,19.9,4.2,24.1
4520.0,19.3,3.3,22.6
4786.0,19.1,5.0,24.1
5560.0,20.2,4.2,24.4
4539.0,20.0,4.1,24.1
5405.0,19.3,5.1,24.4
5687.0,18.2,4.4,22.6
4910.0,20.4,3.5,23.9
7338.0,17.8,5.0,22.8
8743.0,19.1,4.2,23.3
4993.0,18.6,3.9,22.5
8229.0,18.2,4.9,23.1
6168.0,19.2,4.8,24.0
4639.0,19.1,4.3,23.4
5192.0,20.5,3.6,24.1
10481.0,16.3,5.0,21.3
6110.0,20.1,4.4,24.5
5250.0,18.9,4.1,23.0
12652.0,18.0,5.0,23.0
8245.0,19.8,4.1,23.9
5384.0,18.7,3.6,22.3
9311.0,16.3,4.4,20.700000000000003
5873.0,19.7,4.2,23.9
5430.0,19.8,4.0,23.8
7914.0,19.4,4.8,24.2
5256.0,20.2,4.3,24.5
5574.0,20.0,3.7,23.7
8093.0,19.3,5.1,24.4
10851.0,17.8,3.5,21.3
5638.0,19.2,2.8,22.0
8404.0,16.9,4.6,21.5
8183.0,19.7,4.2,23.9
5791.0,19.2,4.1,23.3
10270.0,17.1,4.7,21.8
6835.0,19.1,5.1,24.200000000000003
5941.0,20.2,4.0,24.2
13479.0,17.3,4.5,21.8
9947.0,19.1,4.0,23.1
5947.0,19.3,3.7,23.0
6158.0,18.2,5.2,23.4
24502.0,18.9,3.9,22.8
5999.0,20.6,4.1,24.700000000000003
12052.0,20.0,4.6,24.6
9090.0,18.2,4.3,22.5
6060.0,17.5,3.9,21.4
8662.0,16.9,4.8,21.7
9005.0,19.6,4.2,23.8
6174.0,19.6,3.9,23.5
9118.0,18.0,4.8,22.8
9139.0,19.8,4.1,23.9
6380.0,19.6,4.1,23.700000000000003
11196.0,17.6,4.9,22.5
7190.0,20.0,4.3,24.3
6451.0,19.1,3.8,22.9
15584.0,16.7,4.9,21.6
9679.0,19.1,4.4,23.5
6513.0,19.0,4.4,23.4
8808.0,16.2,4.4,20.6
13632.0,19.2,4.0,23.2
6549.0,20.1,3.7,23.8
9052.0,18.8,5.3,24.1
13311.0,19.8,4.2,24.0
6602.0,19.2,4.1,23.3
14799.0,17.5,4.7,22.2
10106.0,19.6,3.9,23.5
6655.0,18.7,3.9,22.6
13797.0,19.4,4.9,24.3
4334.0,20.2,4.4,24.6
6694.0,18.1,4.3,22.4
12534.0,18.0,4.7,22.7
16717.0,15.9,4.2,20.1
6858.0,18.3,2.6,20.9
7341.0,19.9,5.3,25.2
4762.0,19.6,3.8,23.4
6915.0,18.9,4.5,23.4
11597.0,19.0,4.3,23.3
16080.0,19.0,3.9,22.9
7092.0,18.4,3.2,21.6
10666.0,18.0,5.0,23.0
16819.0,19.4,4.1,23.5
7134.0,18.9,4.3,23.2
12982.0,18.2,4.4,22.6
15562.0,20.3,4.7,25.0
7306.0,17.5,4.0,21.5
8614.0,18.9,5.7,24.6
7858.0,19.6,4.2,23.8
7582.0,18.2,4.0,22.2
12544.0,17.9,4.9,22.8
14524.0,19.7,3.7,23.4
7590.0,18.2,4.1,22.3
14319.0,16.5,4.8,21.3
10981.0,19.4,4.2,23.6
7598.0,18.5,4.0,22.5
9372.0,15.0,4.9,19.9
10225.0,19.8,4.3,24.1
7630.0,18.4,3.8,22.2
10597.0,17.3,5.2,22.5
11978.0,18.6,4.0,22.6
7967.0,18.7,4.6,23.3
10365.0,17.2,4.9,22.1
11567.0,19.6,4.4,24.0
8031.0,18.9,3.7,22.6
19276.0,17.6,5.1,22.700000000000003
11385.0,19.9,4.1,24.0
8130.0,19.2,3.8,23.0
11620.0,17.4,4.8,22.2
14784.0,18.3,4.4,22.700000000000003
8267.0,18.3,3.3,21.6
8070.0,18.4,4.5,22.9
11873.0,20.4,3.8,24.2
8294.0,17.3,2.7,20.0
12835.0,15.8,5.1,20.9
6023.0,20.8,3.5,24.3
8409.0,15.4,4.0,19.4
11480.0,19.0,4.8,23.8
20794.0,18.1,4.2,22.3
8726.0,18.8,4.4,23.200000000000003
10155.0,17.3,5.7,23.0
9039.0,19.8,4.4,24.200000000000003
8782.0,19.4,4.6,24.0
17731.0,15.2,4.7,19.9
22367.0,19.6,3.7,23.3
8899.0,19.2,3.9,23.1
11616.0,18.4,4.9,23.3
9088.0,18.1,4.5,22.6
9090.0,18.4,3.3,21.7
12996.0,16.5,5.1,21.6
13391.0,19.2,4.1,23.3
9239.0,18.9,3.8,22.7
14264.0,17.0,4.6,21.6
10263.0,20.1,4.3,24.4
9243.0,19.1,3.8,22.9
24396.0,15.7,5.3,21.0
12514.0,19.2,4.5,23.7
9347.0,19.0,3.7,22.7
12391.0,17.6,4.8,22.4
11391.0,19.6,4.1,23.700000000000003
9521.0,19.3,3.8,23.1
12546.0,18.2,5.1,23.3
15530.0,19.4,4.2,23.6
9639.0,19.4,3.8,23.2
12110.0,18.1,4.6,22.700000000000003
16194.0,19.6,4.1,23.700000000000003
9736.0,19.3,3.9,23.2
13564.0,17.7,4.7,22.4
16615.0,18.5,3.9,22.4
9758.0,17.8,3.9,21.7
15566.0,18.3,4.9,23.200000000000003
15694.0,19.5,4.1,23.6
9831.0,19.1,3.8,22.9
14281.0,17.9,4.8,22.7
17694.0,18.1,4.1,22.200000000000003
9848.0,18.8,4.0,22.8
15666.0,17.1,4.6,21.700000000000003
13904.0,16.8,3.4,20.2
10139.0,18.1,3.4,21.5
14919.0,15.7,4.8,20.5
15901.0,19.0,4.0,23.0
10317.0,19.1,4.1,23.200000000000003
16942.0,16.0,4.4,20.4
6753.0,19.6,4.1,23.700000000000003
10367.0,18.2,3.6,21.8
24514.0,16.7,4.8,21.5
20595.0,18.6,3.9,22.5
10568.0,20.3,3.4,23.7
22380.0,16.4,4.5,20.9
39025.0,19.5,4.3,23.8
10620.0,23.0,3.3,26.3
13183.0,18.0,5.4,23.4
18560.0,19.0,4.2,23.2
10823.0,18.9,3.9,22.8
15117.0,17.3,5.1,22.4
16012.0,19.2,4.0,23.2
10883.0,18.8,3.7,22.5
14717.0,16.8,4.4,21.200000000000003
19038.0,19.4,4.1,23.5
11141.0,19.0,3.9,22.9
16617.0,17.8,4.8,22.6
17622.0,19.3,4.5,23.8
11658.0,19.2,3.9,23.1
18381.0,16.7,4.7,21.4
9866.0,22.6,3.9,26.5
11747.0,19.5,4.4,23.9
16988.0,17.4,5.0,22.4
16634.0,19.3,4.2,23.5
11925.0,19.0,3.9,22.9
21027.0,16.9,4.8,21.7
21413.0,19.9,4.0,23.9
12044.0,18.8,3.6,22.4
32093.0,12.4,4.7,17.1
7943.0,19.8,4.1,23.9
12061.0,18.9,3.8,22.7
25731.0,15.2,4.9,20.1
23749.0,18.9,4.2,23.1
12182.0,19.0,3.4,22.4
14192.0,19.0,4.5,23.5
6612.0,21.1,4.3,25.4
12396.0,20.0,4.3,24.3
25952.0,17.2,4.9,22.1
23511.0,19.8,3.7,23.5
12542.0,17.5,4.1,21.6
16211.0,17.5,5.3,22.8
22348.0,19.5,4.4,23.9
12597.0,18.0,3.9,21.9
20799.0,17.4,5.2,22.6
64395.0,16.1,3.9,20.0
12667.0,19.8,4.4,24.200000000000003
20123.0,19.5,4.4,23.9
23476.0,17.9,4.0,21.9
12709.0,19.7,3.1,22.8
16256.0,16.3,4.5,20.8
20025.0,19.5,4.1,23.6
13045.0,18.7,3.7,22.4
17312.0,17.1,4.7,21.8
21528.0,18.8,4.1,22.9
13084.0,18.5,3.9,22.4
18728.0,16.9,4.8,21.7
21451.0,19.0,4.0,23.0
13166.0,19.1,3.8,22.9
19178.0,16.9,4.4,21.3
23217.0,17.1,3.7,20.8
13198.0,18.4,3.4,21.8
17192.0,17.2,4.9,22.1
21546.0,17.7,3.7,21.4
13273.0,17.0,4.6,21.6
26353.0,16.4,4.7,21.1
21543.0,19.6,4.8,24.4
13405.0,14.7,2.9,17.599999999999998
19321.0,16.6,4.6,21.200000000000003
22221.0,18.1,3.9,22.0
13514.0,18.6,3.8,22.4
18873.0,17.8,4.5,22.3
20210.0,19.3,4.1,23.4
13611.0,19.6,3.3,22.9
24740.0,19.7,3.8,23.5
13659.0,18.0,3.5,21.5
17561.0,17.1,4.9,22.0
21552.0,19.5,4.0,23.5
13730.0,18.6,3.7,22.3
18751.0,17.9,4.7,22.6
24966.0,19.5,3.9,23.4
13745.0,18.4,3.6,22.0
20160.0,17.4,5.0,22.4
25538.0,18.4,3.2,21.6
13929.0,18.8,3.7,22.5
21032.0,16.4,4.3,20.7
35162.0,18.7,3.7,22.4
13953.0,19.2,4.2,23.4
22723.0,14.5,5.0,19.5
46587.0,16.0,3.6,19.6
14164.0,15.4,3.3,18.7
17699.0,13.1,4.6,17.7
13551.0,19.2,4.0,23.2
14414.0,18.3,3.7,22.0
25181.0,16.6,4.8,21.4
11921.0,19.1,4.1,23.200000000000003
14422.0,16.1,3.8,19.9
59282.0,16.1,4.9,21.0
23695.0,19.5,3.8,23.3
14786.0,19.0,4.0,23.0
20567.0,17.4,4.5,21.9
20734.0,18.8,4.0,22.8
15043.0,19.2,3.7,22.9
18317.0,17.0,4.8,21.8
24833.0,18.8,3.9,22.7
15308.0,17.5,2.8,20.3
24427.0,19.2,4.0,23.2
15492.0,18.5,4.0,22.5
22378.0,17.0,4.7,21.7
53440.0,18.9,3.7,22.6
15646.0,19.0,3.2,22.2
19664.0,17.7,4.3,22.0
30011.0,19.2,4.3,23.5
16017.0,17.6,3.7,21.3
23727.0,19.0,4.7,23.7
27807.0,17.1,3.3,20.4
16193.0,18.5,3.9,22.4
23212.0,15.1,4.7,19.8
33542.0,18.8,4.3,23.1
16238.0,18.3,3.2,21.5
20530.0,17.5,4.8,22.3
25940.0,18.8,4.1,22.9
16929.0,18.7,3.8,22.5
22769.0,17.0,4.5,21.5
29791.0,20.6,3.9,24.5
16986.0,18.4,3.3,21.7
28064.0,14.9,5.0,19.9
23890.0,18.1,3.8,21.9
17246.0,18.1,3.4,21.5
35445.0,15.1,4.5,19.6
28872.0,17.1,4.0,21.1
17552.0,17.9,3.9,21.8
20949.0,17.4,4.7,22.1
28886.0,17.7,3.8,21.5
17557.0,18.4,3.0,21.4
22700.0,17.0,4.6,21.6
48094.0,17.9,3.9,21.8
17867.0,19.8,3.7,23.5
22942.0,17.9,4.6,22.5
35044.0,19.2,3.7,22.9
17935.0,18.1,3.0,21.1
25016.0,16.6,5.0,21.6
60009.0,19.2,3.8,23.0
18038.0,18.4,4.2,22.6
17982.0,17.8,5.0,22.8
22388.0,18.0,3.4,21.4
18337.0,19.7,3.4,23.1
33932.0,19.0,5.4,24.4
5778.0,16.5,3.5,20.0
18764.0,17.5,4.8,22.3
12796.0,11.8,6.0,17.8
26010.0,20.8,4.8,25.6
18963.0,15.9,4.1,20.0
26195.0,17.8,3.8,21.6
27287.0,19.1,4.5,23.6
19494.0,18.4,4.0,22.4
25022.0,16.6,5.0,21.6
33437.0,18.0,3.8,21.8
19536.0,18.0,3.5,21.5
25407.0,18.8,4.5,23.3
33670.0,17.9,4.1,22.0
36314.0,19.6,4.2,23.8
20485.0,18.8,3.4,22.2
32520.0,18.0,4.8,22.8
29773.0,19.0,4.0,23.0
20567.0,18.6,3.6,22.200000000000003
27712.0,17.1,4.6,21.700000000000003
17678.0,20.8,4.5,25.3
20760.0,17.5,4.3,21.8
35621.0,18.5,3.9,22.4
21116.0,18.6,3.5,22.1
26586.0,16.5,4.8,21.3
20170.0,16.8,3.9,20.7
21272.0,17.3,2.5,19.8
33271.0,18.3,4.6,22.9
32985.0,18.5,3.8,22.3
21410.0,18.0,3.9,21.9
27255.0,16.1,4.5,20.6
23324.0,18.4,4.2,22.6
21484.0,18.4,2.9,21.3
38266.0,14.0,4.8,18.8
31633.0,19.6,4.1,23.700000000000003
21681.0,17.7,3.1,20.8
25161.0,18.7,4.6,23.3
27051.0,18.0,4.2,22.2
21857.0,18.1,3.4,21.5
33759.0,17.7,4.4,22.1
33736.0,18.7,4.2,22.9
22055.0,17.9,3.2,21.1
26950.0,14.1,4.9,19.0
37495.0,18.7,3.8,22.5
22112.0,18.2,3.0,21.2
32585.0,15.9,4.4,20.3
39769.0,15.0,3.8,18.8
22709.0,16.4,3.4,19.8
26892.0,17.5,4.8,22.3
34346.0,19.3,4.5,23.8
23096.0,17.9,3.8,21.7
29836.0,18.0,4.5,22.5
34194.0,18.1,4.2,22.3
23105.0,18.6,4.0,22.6
37604.0,17.2,4.6,21.8
26772.0,19.1,4.3,23.4
23365.0,19.3,3.9,23.2
26412.0,18.7,4.0,22.7
23420.0,18.0,3.5,21.5
37956.0,16.8,4.9,21.700000000000003
29824.0,18.7,3.7,22.4
23926.0,18.8,3.6,22.4
35838.0,17.8,3.8,21.6
23940.0,17.7,3.6,21.3
30319.0,17.0,5.0,22.0
40388.0,19.4,3.5,22.9
24082.0,17.1,4.2,21.3
27134.0,17.8,4.6,22.4
35752.0,18.4,3.9,22.3
24202.0,18.3,3.8,22.1
30052.0,16.0,4.4,20.4
21769.0,18.5,4.2,22.7
24280.0,18.6,4.2,22.8
67407.0,16.7,4.5,21.2
35238.0,17.4,3.8,21.2
24522.0,16.6,3.6,20.200000000000003
46794.0,14.8,5.0,19.8
34188.0,19.8,3.9,23.7
24543.0,18.7,3.9,22.6
31270.0,17.5,4.6,22.1
41249.0,16.1,4.0,20.1
25347.0,17.4,2.9,20.3
30574.0,17.1,5.1,22.200000000000003
15884.0,19.3,4.2,23.5
25471.0,17.5,3.9,21.4
52363.0,15.1,4.7,19.8
36096.0,17.8,4.1,21.9
26062.0,18.2,3.7,21.9
32135.0,15.9,4.5,20.4
37541.0,18.5,3.9,22.4
26208.0,18.1,3.9,22.0
31550.0,16.4,4.5,20.9
38298.0,18.0,3.8,21.8
26643.0,18.6,3.5,22.1
33164.0,16.6,4.5,21.1
46383.0,18.7,3.7,22.4
26848.0,17.8,2.8,20.6
30467.0,17.8,4.8,22.6
62608.0,18.0,4.2,22.2
27335.0,17.8,5.5,23.3
30134.0,19.8,4.8,24.6
42932.0,20.2,4.0,24.2
28117.0,16.9,3.3,20.2
49220.0,16.3,4.6,20.9
38514.0,17.2,3.9,21.1
28155.0,18.6,3.6,22.200000000000003
38395.0,16.6,4.7,21.3
40648.0,17.7,4.2,21.9
28294.0,18.1,3.6,21.700000000000003
66127.0,16.8,4.2,21.0
39338.0,18.4,4.0,22.4
28382.0,18.5,3.5,22.0
36972.0,16.4,4.7,21.1
41263.0,18.4,4.0,22.4
28668.0,17.7,3.6,21.3
34834.0,16.5,4.6,21.1
41290.0,18.5,3.9,22.4
28789.0,18.3,3.7,22.0
36180.0,15.3,4.5,19.8
79788.0,18.6,4.1,22.700000000000003
29219.0,18.0,3.5,21.5
61773.0,18.1,4.5,22.6
54710.0,19.2,3.9,23.1
29403.0,18.3,3.3,21.6
38348.0,18.1,5.3,23.4
49929.0,19.3,3.8,23.1
29475.0,18.9,2.5,21.4
33670.0,17.4,4.4,21.8
35666.0,19.4,4.9,24.3
29695.0,18.4,3.8,22.2
34300.0,15.4,4.6,20.0
44852.0,17.2,4.1,21.3
29746.0,16.2,3.9,20.1
31453.0,19.6,4.3,23.9
29968.0,17.2,4.2,21.4
45414.0,17.8,4.6,22.4
17270.0,21.2,3.5,24.7
30154.0,12.8,3.0,15.8
57559.0,15.8,4.8,20.6
197465.0,13.6,3.4,17.0
30403.0,16.5,3.4,19.9
48750.0,16.1,5.2,21.3
234590.0,10.6,3.6,14.2
30421.0,16.1,4.8,20.9
110274.0,14.1,4.4,18.5
29016.0,18.2,4.3,22.5
31337.0,15.6,3.8,19.4
110136.0,15.1,4.6,19.7
33420.0,19.2,4.2,23.4
31354.0,18.4,3.7,22.1
49721.0,16.8,4.6,21.4
44596.0,17.0,4.0,21.0
31849.0,17.7,2.9,20.6
41183.0,15.8,4.3,20.1
32952.0,18.8,4.0,22.8
32305.0,16.6,3.5,20.1
51715.0,16.0,4.7,20.7
41830.0,16.2,4.2,20.4
32608.0,16.0,3.1,19.1
57603.0,14.1,5.3,19.4
43254.0,17.9,3.8,21.7
33447.0,17.8,3.6,21.4
39504.0,15.6,4.4,20.0
46886.0,18.2,4.0,22.2
33660.0,16.9,3.5,20.4
40358.0,15.0,4.4,19.4
38752.0,18.2,3.2,21.4
33677.0,14.5,5.4,19.9
62315.0,12.0,5.1,17.1
42727.0,16.0,3.6,19.6
33818.0,16.1,4.3,20.4
38046.0,15.4,4.7,20.1
35297.0,17.6,3.9,21.5
34177.0,19.1,4.1,23.200000000000003
57879.0,15.1,4.2,19.3
35015.0,19.0,3.8,22.8
34333.0,17.0,3.6,20.6
57612.0,15.8,4.9,20.700000000000003
46256.0,18.5,3.9,22.4
34343.0,18.2,3.4,21.6
44120.0,16.2,4.8,21.0
46014.0,18.3,3.8,22.1
34545.0,17.6,3.6,21.200000000000003
44760.0,16.4,4.6,21.0
41748.0,18.4,4.1,22.5
45089.0,17.5,3.8,21.3
35363.0,17.1,3.6,20.700000000000003
44203.0,15.1,4.4,19.5
27406.0,19.1,4.1,23.200000000000003
36052.0,18.0,3.9,21.9
53669.0,17.4,4.7,22.1
49032.0,18.8,4.2,23.0
36631.0,19.3,5.0,24.3
62436.0,14.6,4.4,19.0
40038.0,18.0,3.9,21.9
37126.0,18.4,3.7,22.1
51481.0,16.8,4.6,21.4
49211.0,17.9,3.8,21.7
37157.0,17.2,3.4,20.6
46168.0,16.6,4.5,21.1
55785.0,17.6,3.4,21.0
37655.0,17.6,4.2,21.8
44710.0,17.5,4.6,22.1
60800.0,19.0,4.0,23.0
37795.0,15.9,3.2,19.1
73672.0,17.0,4.9,21.9
52575.0,17.7,3.3,21.0
38028.0,16.4,3.6,20.0
41686.0,15.2,4.6,19.8
20752.0,18.3,3.9,22.2
38246.0,16.3,4.0,20.3
66564.0,15.4,4.8,20.2
45155.0,19.4,4.2,23.6
38702.0,19.0,2.7,21.7
65553.0,14.2,5.2,19.4
50520.0,18.7,3.9,22.6
38705.0,17.5,3.4,20.9
44593.0,15.8,4.4,20.200000000000003
98909.0,19.0,4.0,23.0
39017.0,17.5,3.4,20.9
36785.0,18.7,4.1,22.8
39034.0,16.3,3.0,19.3
61397.0,16.3,4.3,20.6
51526.0,17.5,3.8,21.3
39244.0,17.4,3.5,20.9
49317.0,15.6,4.5,20.1
28368.0,17.8,3.9,21.7
39660.0,16.7,3.5,20.2
64704.0,16.3,4.6,20.9
51371.0,18.9,3.9,22.8
40167.0,18.4,3.6,22.0
44013.0,17.6,4.6,22.200000000000003
51696.0,17.7,4.0,21.7
40730.0,17.2,3.5,20.7
50666.0,14.6,4.5,19.1
23889.0,19.0,4.3,23.3
41341.0,19.0,3.0,22.0
51863.0,15.9,4.4,20.3
51880.0,17.2,3.8,21.0
41725.0,16.1,3.5,19.6
42332.0,15.5,4.6,20.1
53211.0,18.4,4.0,22.4
42043.0,17.6,3.6,21.200000000000003
52503.0,16.0,4.4,20.4
43313.0,18.6,4.0,22.6
42546.0,17.7,3.7,21.4
76170.0,16.0,4.8,20.8
55697.0,17.0,3.8,20.8
42556.0,16.6,3.6,20.200000000000003
49239.0,15.2,4.6,19.8
64012.0,16.8,3.9,20.7
42838.0,17.0,3.3,20.3
62190.0,13.1,3.6,16.7
76062.0,18.7,3.9,22.6
42977.0,17.8,3.6,21.4
40098.0,16.9,4.6,21.5
66267.0,18.1,3.4,21.5
42990.0,16.8,3.3,20.1
65275.0,15.3,5.3,20.6
56481.0,17.5,3.8,21.3
43977.0,16.8,3.1,19.9
49637.0,15.5,4.4,19.9
40342.0,18.2,3.9,22.1
44129.0,16.9,3.7,20.6
62995.0,15.9,4.8,20.7
56815.0,18.0,3.8,21.8
44251.0,17.4,3.4,20.8
55675.0,16.0,4.5,20.5
45192.0,18.6,4.1,22.700000000000003
44804.0,18.0,2.8,20.8
51788.0,17.9,5.1,23.0
58775.0,16.7,3.7,20.4
45703.0,16.1,3.4,19.5
43860.0,15.2,4.5,19.7
27248.0,16.8,4.3,21.1
46596.0,17.4,3.5,20.9
