basari_sirasi,ayt_edebiyat,ayt_cografya1,toplam_net,ayt_tarih1,ayt_tarih2,ayt_cografya2,ayt_felsefe,ayt_din
2374.0,20.2,4.1,37.38999999999999,3.22,3.26,2.63,0.91,3.07
3094.0,19.9,5.4,36.47999999999999,6.43,2.05,1.0,0.3,1.4
2429.0,20.5,4.3,48.00000000000001,7.52,5.95,1.7,4.56,3.47
2182.0,16.9,6.0,43.39,8.1,4.98,1.05,2.26,4.1
4465.0,20.6,4.6,41.92,3.87,0.18,4.1,4.97,3.6
2437.0,21.1,4.1,33.800000000000004,0.73,1.94,4.67,0.89,0.37
4087.0,19.4,4.9,34.379999999999995,2.58,0.36,2.14,1.63,3.37
2372.0,21.0,4.4,40.8,3.42,5.68,2.53,3.4,0.37
2465.0,20.2,4.0,40.26,6.98,2.38,1.4,4.61,0.69
2906.0,19.4,5.2,39.01,3.6,1.86,4.99,2.63,1.33
1568.0,20.5,2.5,40.47,6.12,3.06,5.49,0.14,2.66
2468.0,21.5,6.0,39.48,3.13,2.99,2.9,2.7,0.26
3497.0,17.0,6.0,35.690000000000005,4.39,1.5,4.09,0.87,1.84
2653.0,18.9,4.0,36.54,4.9,0.86,2.53,2.88,2.47
2793.0,18.7,4.0,37.629999999999995,1.15,2.24,4.95,3.03,3.56
3558.0,19.8,5.0,31.990000000000002,0.55,2.25,0.97,0.55,2.87
3447.0,20.6,4.6,34.050000000000004,0.0,3.13,3.32,0.0,2.4
2967.0,20.9,3.4,34.26,0.0,2.98,3.28,2.39,1.31
5397.0,17.2,4.9,38.160000000000004,5.41,0.71,7.04,0.0,2.9
2793.0,21.6,4.6,35.85,1.45,0.64,2.9,1.6,3.06
2995.0,20.2,4.4,39.78,4.67,2.34,2.38,4.05,1.74
4798.0,17.9,4.7,34.129999999999995,2.16,4.99,2.4,0.11,1.87
2706.0,20.2,4.3,36.81000000000001,5.74,1.88,2.38,1.02,1.29
3042.0,20.3,4.0,34.77,0.23,0.0,4.95,3.27,2.02
2456.0,19.7,5.1,36.919999999999995,4.31,0.0,3.02,4.79,0.0
3022.0,20.6,4.4,45.5,3.55,7.81,6.46,0.11,2.57
3221.0,19.8,4.3,36.510000000000005,0.92,3.36,5.29,0.0,2.84
6043.0,18.4,5.0,40.050000000000004,8.15,4.06,0.59,2.04,1.81
3225.0,20.5,4.4,42.440000000000005,0.0,5.21,3.95,4.53,3.85
3242.0,20.5,4.3,38.7,1.35,1.7,3.98,3.03,3.84
4387.0,19.5,5.0,39.15,5.24,2.92,2.23,1.78,2.48
1878.0,20.2,-0.2,39.38,5.55,1.58,4.47,3.47,4.31
3330.0,21.5,3.5,39.599999999999994,4.08,2.04,1.28,4.84,2.36
3969.0,15.5,4.8,28.950000000000003,2.97,0.88,0.51,0.53,3.76
3831.0,20.2,4.3,36.5,2.59,1.25,5.58,0.64,1.94
3353.0,20.0,4.0,32.910000000000004,0.53,3.53,1.57,2.41,0.87
7535.0,17.9,5.1,40.76,2.33,2.71,3.33,4.64,4.75
4159.0,17.3,3.5,33.74,0.0,2.16,3.06,3.89,3.83
3400.0,19.4,5.1,42.81999999999999,9.22,1.66,5.02,0.0,2.42
13150.0,16.8,3.9,35.94,6.02,4.46,0.93,0.0,3.83
3942.0,20.0,4.5,31.17,0.94,0.58,0.18,1.85,3.12
3470.0,19.9,4.2,33.56,4.68,0.0,1.37,0.25,3.16
6831.0,17.7,4.8,28.84,0.0,1.2,1.25,0.0,3.89
2028.0,20.2,5.1,36.74,1.51,1.89,3.2,2.38,2.46
3523.0,18.2,4.9,35.49,3.93,1.41,2.38,0.74,3.93
1563.0,20.9,5.5,39.78,3.72,2.95,0.6,0.11,6.0
2349.0,18.1,4.1,41.410000000000004,8.96,3.32,3.56,0.0,3.37
3578.0,18.0,4.6,39.14,6.08,3.97,1.68,3.36,1.45
9839.0,15.2,4.6,32.419999999999995,0.0,0.95,5.42,3.11,3.14
6247.0,19.6,4.7,47.86,3.67,6.48,4.35,3.94,5.12
3638.0,19.2,4.2,43.419999999999995,4.95,3.04,4.58,2.55,4.9
4105.0,18.6,4.7,38.18000000000001,1.35,6.26,1.92,1.07,4.28
6969.0,20.2,4.6,31.79,2.12,0.95,0.0,2.09,1.83
3664.0,20.3,4.5,36.620000000000005,3.3,2.16,3.98,0.0,2.38
5244.0,17.0,4.6,30.43,0.58,2.98,1.46,1.63,2.18
3356.0,20.4,4.3,41.31999999999999,5.38,3.18,2.92,2.55,2.59
3682.0,19.7,3.9,40.31,1.3,3.4,3.84,4.95,3.22
5196.0,20.8,5.6,43.75,4.27,3.71,3.71,5.14,0.52
4436.0,19.3,4.1,32.4,3.18,4.02,0.95,0.0,0.85
3821.0,19.3,4.2,39.29,1.84,4.28,3.93,4.23,1.51
4201.0,19.1,5.0,37.010000000000005,4.98,2.55,1.7,2.2,1.48
2223.0,21.2,4.1,37.66,2.62,3.4,4.22,0.21,1.91
4056.0,16.9,3.6,28.150000000000002,1.89,1.47,0.0,2.78,1.51
16098.0,19.8,4.7,41.57,7.64,3.5,3.71,0.29,1.93
4056.0,20.1,4.2,30.02,0.0,3.18,0.0,0.0,2.54
4090.0,19.8,4.1,37.34,5.31,0.82,1.85,2.87,2.59
6201.0,18.2,4.9,37.230000000000004,5.78,3.21,2.74,2.4,0.0
7963.0,18.7,3.8,33.21,3.4,0.31,4.05,0.64,2.31
4185.0,19.3,4.1,38.92000000000001,4.93,4.34,2.84,2.09,1.32
7173.0,19.5,4.9,40.48,3.31,3.61,4.4,1.83,2.93
4886.0,20.3,3.8,39.64,3.62,1.89,4.35,2.72,2.96
4364.0,20.2,3.5,41.03999999999999,4.82,2.65,2.99,3.83,3.05
5218.0,17.0,5.1,41.92,5.66,4.86,5.75,3.05,0.5
5695.0,20.4,4.1,34.44,2.23,3.71,4.0,0.0,0.0
4388.0,20.1,3.9,33.69,3.31,0.0,0.26,3.89,2.23
6906.0,18.9,4.9,32.26,4.94,0.57,0.0,0.0,2.95
10831.0,19.9,4.2,43.9,2.97,7.18,5.33,2.09,2.23
4520.0,19.3,3.3,40.2,6.61,2.74,2.06,3.08,3.11
4786.0,19.1,5.0,40.10000000000001,2.78,3.64,3.93,2.13,3.52
5560.0,20.2,4.2,41.94,5.58,0.09,6.66,2.92,2.29
4539.0,20.0,4.1,34.01,2.56,0.0,1.1,3.29,2.96
5405.0,19.3,5.1,36.55999999999999,2.76,3.36,2.55,2.41,1.08
5687.0,18.2,4.4,41.06,3.13,4.83,3.98,2.46,4.06
4910.0,20.4,3.5,38.97,2.99,0.0,6.16,0.0,5.92
7338.0,17.8,5.0,45.25000000000001,6.66,5.45,3.1,4.11,3.13
8743.0,19.1,4.2,34.62,2.07,1.72,4.73,2.8,0.0
4993.0,18.6,3.9,35.81,5.8,0.0,6.07,0.0,1.44
8229.0,18.2,4.9,40.33,9.75,1.54,0.12,3.04,2.78
6168.0,19.2,4.8,36.72,4.03,0.78,2.7,4.13,1.08
4639.0,19.1,4.3,38.080000000000005,5.58,0.0,3.69,5.03,0.38
5192.0,20.5,3.6,32.73,3.88,1.43,1.52,0.81,0.99
10481.0,16.3,5.0,41.5,8.07,2.97,3.05,2.95,3.16
6110.0,20.1,4.4,39.96,4.21,4.33,2.05,1.81,3.06
5250.0,18.9,4.1,37.56,3.89,3.67,0.37,2.49,4.14
12652.0,18.0,5.0,36.07,6.4,0.98,1.46,2.99,1.24
8245.0,19.8,4.1,38.72,0.76,2.98,1.74,3.58,5.76
5384.0,18.7,3.6,38.440000000000005,5.03,3.76,1.45,2.64,3.26
9311.0,16.3,4.4,36.11,3.52,5.65,4.02,1.75,0.47
5873.0,19.7,4.2,37.019999999999996,3.71,0.9,1.86,3.73,2.92
5430.0,19.8,4.0,37.78,1.94,4.22,2.34,0.74,4.74
7914.0,19.4,4.8,38.4,4.11,0.0,2.2,3.91,3.98
5256.0,20.2,4.3,42.01,5.84,1.44,1.44,5.06,3.73
5574.0,20.0,3.7,40.019999999999996,6.79,2.88,3.34,1.97,1.34
8093.0,19.3,5.1,34.13999999999999,2.45,2.56,2.66,2.07,0.0
10851.0,17.8,3.5,41.7,7.16,1.45,0.64,5.59,5.56
5638.0,19.2,2.8,41.51,4.9,5.81,4.9,1.5,2.4
8404.0,16.9,4.6,38.18,0.57,3.52,5.24,2.52,4.83
8183.0,19.7,4.2,32.599999999999994,3.95,1.04,0.0,0.0,3.71
5791.0,19.2,4.1,35.23,2.08,0.0,2.2,4.69,2.96
10270.0,17.1,4.7,40.28000000000001,6.95,5.48,2.32,2.38,1.35
6835.0,19.1,5.1,35.97,0.0,0.59,4.39,5.31,1.48
5941.0,20.2,4.0,33.559999999999995,3.81,0.04,2.29,2.93,0.29
13479.0,17.3,4.5,33.46,3.3,4.37,0.49,2.27,1.23
9947.0,19.1,4.0,33.82,5.16,0.0,2.45,0.45,2.66
5947.0,19.3,3.7,37.06,3.69,3.16,3.08,4.13,0.0
6158.0,18.2,5.2,42.2,3.87,4.26,3.21,3.19,4.27
24502.0,18.9,3.9,40.959999999999994,7.2,0.0,1.45,4.23,5.28
5999.0,20.6,4.1,39.699999999999996,4.4,1.81,4.25,0.0,4.54
12052.0,20.0,4.6,38.88000000000001,5.71,1.77,0.46,3.93,2.41
9090.0,18.2,4.3,36.85,2.74,1.53,4.01,2.6,3.47
6060.0,17.5,3.9,37.300000000000004,0.94,1.65,5.44,5.67,2.2
8662.0,16.9,4.8,36.75,3.62,3.22,4.28,2.39,1.54
9005.0,19.6,4.2,31.53,0.0,1.95,0.25,0.77,4.76
6174.0,19.6,3.9,35.56,3.02,4.71,2.81,1.34,0.18
9118.0,18.0,4.8,36.97,1.46,5.5,4.25,2.48,0.48
9139.0,19.8,4.1,42.94,8.94,2.7,6.23,0.99,0.18
6380.0,19.6,4.1,40.64,4.23,3.98,2.97,2.75,3.01
11196.0,17.6,4.9,40.31,8.07,1.51,2.52,2.25,3.46
7190.0,20.0,4.3,37.67,2.67,5.17,0.0,2.69,2.84
6451.0,19.1,3.8,41.040000000000006,4.29,4.98,3.13,2.15,3.59
15584.0,16.7,4.9,37.99,2.18,5.56,4.3,0.0,4.35
9679.0,19.1,4.4,34.29,1.57,0.61,3.96,2.28,2.37
6513.0,19.0,4.4,27.31,0.65,0.0,2.69,0.0,0.57
8808.0,16.2,4.4,36.58,5.76,3.82,0.27,2.48,3.65
13632.0,19.2,4.0,37.25,3.55,0.0,4.1,3.03,3.37
6549.0,20.1,3.7,35.87,4.17,0.9,2.52,2.25,2.23
9052.0,18.8,5.3,35.29,1.89,0.0,2.61,2.9,3.79
13311.0,19.8,4.2,43.86999999999999,5.65,4.05,4.05,2.11,4.01
6602.0,19.2,4.1,36.54,0.14,5.56,1.14,2.75,3.65
14799.0,17.5,4.7,30.529999999999998,1.95,0.0,2.22,0.0,4.16
10106.0,19.6,3.9,34.82,2.83,3.73,3.75,0.0,1.01
6655.0,18.7,3.9,29.54,0.98,4.35,0.03,0.0,1.58
13797.0,19.4,4.9,38.900000000000006,4.42,2.74,1.99,3.14,2.31
4334.0,20.2,4.4,38.260000000000005,2.88,1.55,2.92,2.49,3.82
6694.0,18.1,4.3,44.51,7.97,4.49,2.25,3.26,4.14
12534.0,18.0,4.7,35.85000000000001,4.56,3.24,2.52,0.7,2.13
16717.0,15.9,4.2,35.15000000000001,3.96,4.19,4.86,1.2,0.84
6858.0,18.3,2.6,36.17,4.25,1.7,1.91,3.11,4.3
7341.0,19.9,5.3,34.82,2.18,2.91,0.0,1.03,3.5
4762.0,19.6,3.8,37.51,2.69,4.01,3.15,0.83,3.43
6915.0,18.9,4.5,37.080000000000005,1.87,0.6,1.35,4.01,5.85
11597.0,19.0,4.3,34.93,2.57,1.64,0.75,5.77,0.9
16080.0,19.0,3.9,36.0,0.0,4.52,5.3,1.7,1.58
7092.0,18.4,3.2,36.489999999999995,3.27,0.61,5.96,3.32,1.73
10666.0,18.0,5.0,39.86,2.35,2.68,2.82,5.6,3.41
16819.0,19.4,4.1,42.56,5.69,1.53,5.93,2.47,3.44
7134.0,18.9,4.3,38.86000000000001,5.57,4.54,3.15,0.38,2.02
12982.0,18.2,4.4,33.760000000000005,2.88,0.0,2.01,2.09,4.18
15562.0,20.3,4.7,38.08,7.8,0.45,2.46,0.0,2.37
7306.0,17.5,4.0,39.0,2.85,1.94,7.3,3.83,1.58
8614.0,18.9,5.7,38.53,1.48,2.82,4.64,2.4,2.59
7858.0,19.6,4.2,40.07000000000001,4.76,1.69,2.13,4.92,2.77
7582.0,18.2,4.0,39.99,7.93,4.11,1.96,0.93,2.86
12544.0,17.9,4.9,38.91,3.44,1.48,5.27,4.22,1.7
14524.0,19.7,3.7,39.28999999999999,3.47,3.33,3.12,0.0,5.97
7590.0,18.2,4.1,38.96999999999999,8.94,0.98,5.75,1.0,0.0
14319.0,16.5,4.8,42.58,4.26,4.88,5.14,2.39,4.61
10981.0,19.4,4.2,40.599999999999994,7.0,3.74,4.55,0.0,1.71
7598.0,18.5,4.0,33.93,7.84,0.0,1.33,0.0,2.26
9372.0,15.0,4.9,29.999999999999996,3.79,0.0,4.2,0.0,2.11
10225.0,19.8,4.3,36.37,4.41,2.31,2.32,2.72,0.51
7630.0,18.4,3.8,29.839999999999996,3.96,0.0,2.47,0.24,0.97
10597.0,17.3,5.2,35.96,3.31,2.38,3.36,2.82,1.59
11978.0,18.6,4.0,34.33,8.19,0.84,0.85,0.0,1.85
7967.0,18.7,4.6,39.66,6.09,3.43,3.29,0.73,2.82
10365.0,17.2,4.9,35.21,7.27,1.23,0.0,2.37,2.24
11567.0,19.6,4.4,37.26,0.31,3.18,1.58,3.37,4.82
8031.0,18.9,3.7,38.33,3.2,2.64,5.5,0.0,4.39
19276.0,17.6,5.1,30.5,0.45,1.38,1.07,0.0,4.9
11385.0,19.9,4.1,38.65,0.0,4.14,3.86,2.35,4.3
8130.0,19.2,3.8,33.74,0.41,4.01,2.06,0.0,4.26
11620.0,17.4,4.8,39.57,5.36,2.47,5.38,2.35,1.81
14784.0,18.3,4.4,38.85,3.52,3.39,2.63,3.46,3.15
8267.0,18.3,3.3,32.769999999999996,5.47,1.24,2.61,0.0,1.85
8070.0,18.4,4.5,43.13,5.59,3.27,4.81,3.77,2.79
11873.0,20.4,3.8,35.83,5.7,3.01,0.38,1.72,0.82
8294.0,17.3,2.7,35.269999999999996,2.94,3.86,3.32,1.17,3.98
12835.0,15.8,5.1,30.039999999999996,1.07,3.43,2.06,1.42,1.16
6023.0,20.8,3.5,40.56,4.14,4.65,2.55,0.82,4.1
8409.0,15.4,4.0,29.619999999999997,1.66,0.0,3.42,1.13,4.01
11480.0,19.0,4.8,32.47,2.4,0.37,4.25,0.0,1.65
20794.0,18.1,4.2,38.57,0.94,4.38,2.93,3.51,4.51
8726.0,18.8,4.4,37.67,4.81,0.0,3.95,1.3,4.41
10155.0,17.3,5.7,47.17,10.0,3.53,2.68,3.63,4.33
9039.0,19.8,4.4,40.82000000000001,0.59,5.51,5.96,1.92,2.64
8782.0,19.4,4.6,44.24,10.0,0.0,0.49,3.75,6.0
17731.0,15.2,4.7,35.63999999999999,2.43,4.95,4.31,3.89,0.16
22367.0,19.6,3.7,32.58,3.57,1.49,2.04,1.2,0.98
8899.0,19.2,3.9,34.93,2.82,5.2,3.57,0.0,0.24
11616.0,18.4,4.9,44.489999999999995,8.14,5.22,3.42,1.54,2.87
9088.0,18.1,4.5,38.62,3.57,2.69,1.79,5.68,2.29
9090.0,18.4,3.3,37.18,6.26,0.0,5.76,0.0,3.46
12996.0,16.5,5.1,33.52,2.32,1.01,2.55,2.81,3.23
13391.0,19.2,4.1,41.55,7.43,2.83,2.95,2.63,2.41
9239.0,18.9,3.8,33.849999999999994,2.79,1.22,1.43,4.89,0.82
14264.0,17.0,4.6,36.52,1.67,3.7,4.05,1.29,4.21
10263.0,20.1,4.3,33.32,1.13,2.26,4.71,0.0,0.82
9243.0,19.1,3.8,34.870000000000005,3.93,1.91,2.54,2.35,1.24
24396.0,15.7,5.3,40.790000000000006,7.48,4.25,2.74,3.2,2.12
