basari_sirasi,ayt_matematik,ayt_edebiyat,ayt_cografya1,toplam_net
2017.0,36.2,19.5,5.2,60.900000000000006
1091.0,29.8,21.2,3.9,54.9
1584.0,33.4,20.9,4.3,58.6
1389.0,37.8,20.7,5.5,64.0
1559.0,29.6,21.0,4.4,55.0
1662.0,34.1,21.3,4.3,59.7
991.0,37.7,21.8,5.5,65.0
1027.0,31.0,20.2,4.2,55.400000000000006
1711.0,33.0,21.5,4.8,59.3
1908.0,34.9,20.1,5.0,60.0
1512.0,30.0,20.9,4.4,55.3
1715.0,34.1,20.1,4.4,58.6
2604.0,35.6,19.0,5.1,59.7
1722.0,27.4,20.6,4.3,52.3
1719.0,31.7,20.7,3.8,56.2
2425.0,31.8,19.0,6.0,56.8
1608.0,29.9,20.4,4.5,54.8
1803.0,33.8,21.0,4.0,58.8
2785.0,36.3,18.9,5.3,60.49999999999999
1657.0,27.1,22.0,4.3,53.4
1812.0,32.1,21.1,3.3,56.5
2102.0,34.6,20.9,5.1,60.6
1671.0,28.3,20.9,4.4,53.6
1939.0,33.5,20.4,4.3,58.2
3136.0,34.7,19.5,5.0,59.2
2155.0,27.0,21.4,4.5,52.9
1954.0,33.4,20.9,4.5,58.8
2770.0,35.0,19.5,5.0,59.5
1900.0,28.3,19.8,4.4,52.5
1990.0,32.8,19.5,4.4,56.7
2929.0,35.5,18.5,4.8,58.8
2271.0,27.2,20.4,4.5,52.1
2134.0,33.0,21.0,4.7,58.7
3269.0,35.3,20.1,4.7,60.1
2143.0,26.6,20.6,4.2,51.400000000000006
2255.0,33.5,20.0,4.4,57.9
2149.0,27.2,20.7,4.4,52.3
2267.0,31.9,20.1,4.2,56.2
3923.0,33.6,18.8,5.3,57.7
1993.0,27.0,21.2,3.9,52.1
2353.0,31.2,19.7,3.3,54.2
3894.0,34.6,17.5,5.3,57.4
2450.0,26.9,20.8,4.5,52.2
2374.0,33.1,20.2,4.1,57.4
3094.0,29.2,19.9,5.4,54.49999999999999
2429.0,28.9,20.5,4.3,53.7
2182.0,36.8,16.9,6.0,59.7
4465.0,23.4,20.6,4.6,48.6
2437.0,32.0,21.1,4.1,57.2
4087.0,35.0,19.4,4.9,59.3
2372.0,25.4,21.0,4.4,50.8
2465.0,31.4,20.2,4.0,55.6
2906.0,34.0,19.4,5.2,58.6
1568.0,29.0,20.5,2.5,52.0
2468.0,26.0,21.5,6.0,53.5
3497.0,37.8,17.0,6.0,60.8
2653.0,27.4,18.9,4.0,50.3
2793.0,31.5,18.7,4.0,54.2
3558.0,35.6,19.8,5.0,60.400000000000006
3447.0,26.4,20.6,4.6,51.6
2967.0,33.3,20.9,3.4,57.6
5397.0,35.2,17.2,4.9,57.3
2793.0,26.1,21.6,4.6,52.3
2995.0,30.0,20.2,4.4,54.6
4798.0,36.9,17.9,4.7,59.5
2706.0,26.3,20.2,4.3,50.8
3042.0,31.7,20.3,4.0,56.0
2456.0,35.1,19.7,5.1,59.9
3022.0,25.8,20.6,4.4,50.8
3221.0,30.3,19.8,4.3,54.4
6043.0,32.4,18.4,5.0,55.8
3225.0,26.5,20.5,4.4,51.4
3242.0,31.7,20.5,4.3,56.5
4387.0,34.4,19.5,5.0,58.9
1878.0,31.2,20.2,-0.2,51.2
3330.0,35.5,21.5,3.5,60.5
3969.0,38.8,15.5,4.8,59.1
3831.0,25.4,20.2,4.3,49.89999999999999
3353.0,31.4,20.0,4.0,55.4
7535.0,33.2,17.9,5.1,56.2
4159.0,27.4,17.3,3.5,48.2
3400.0,29.5,19.4,5.1,54.0
13150.0,31.1,16.8,3.9,51.8
3942.0,25.5,20.0,4.5,50.0
3470.0,30.9,19.9,4.2,55.0
6831.0,33.6,17.7,4.8,56.1
2028.0,30.4,20.2,5.1,55.7
3523.0,33.4,18.2,4.9,56.49999999999999
1563.0,36.5,20.9,5.5,62.9
2349.0,31.7,18.1,4.1,53.9
3578.0,29.2,18.0,4.6,51.8
9839.0,31.7,15.2,4.6,51.5
6247.0,23.8,19.6,4.7,48.10000000000001
3638.0,30.7,19.2,4.2,54.1
4105.0,35.1,18.6,4.7,58.400000000000006
6969.0,24.0,20.2,4.6,48.8
3664.0,31.5,20.3,4.5,56.3
5244.0,33.7,17.0,4.6,55.3
3356.0,25.4,20.4,4.3,50.1
3682.0,28.8,19.7,3.9,52.4
5196.0,35.0,20.8,5.6,61.4
4436.0,24.8,19.3,4.1,48.2
3821.0,31.0,19.3,4.2,54.5
4201.0,34.5,19.1,5.0,58.6
2223.0,27.4,21.2,4.1,52.7
4056.0,32.6,16.9,3.6,53.1
16098.0,30.2,19.8,4.7,54.7
4056.0,24.2,20.1,4.2,48.5
4090.0,29.8,19.8,4.1,53.7
6201.0,32.7,18.2,4.9,55.8
7963.0,24.4,18.7,3.8,46.89999999999999
4185.0,31.3,19.3,4.1,54.7
7173.0,31.5,19.5,4.9,55.9
4886.0,24.5,20.3,3.8,48.6
4364.0,30.4,20.2,3.5,54.1
5218.0,35.3,17.0,5.1,57.4
5695.0,24.0,20.4,4.1,48.5
4388.0,29.8,20.1,3.9,53.8
6906.0,32.3,18.9,4.9,56.1
10831.0,22.6,19.9,4.2,46.7
4520.0,29.8,19.3,3.3,52.4
4786.0,33.5,19.1,5.0,57.6
5560.0,24.6,20.2,4.2,49.0
4539.0,30.3,20.0,4.1,54.4
5405.0,33.7,19.3,5.1,58.1
5687.0,25.3,18.2,4.4,47.9
4910.0,26.6,20.4,3.5,50.5
7338.0,30.4,17.8,5.0,53.2
8743.0,24.3,19.1,4.2,47.60000000000001
4993.0,31.0,18.6,3.9,53.5
8229.0,31.6,18.2,4.9,54.7
6168.0,25.4,19.2,4.8,49.39999999999999
4639.0,23.8,19.1,4.3,47.2
5192.0,28.0,20.5,3.6,52.1
10481.0,31.2,16.3,5.0,52.5
6110.0,23.2,20.1,4.4,47.7
5250.0,29.3,18.9,4.1,52.3
12652.0,28.0,18.0,5.0,51.0
8245.0,22.8,19.8,4.1,46.7
5384.0,29.1,18.7,3.6,51.4
9311.0,31.2,16.3,4.4,51.9
5873.0,25.0,19.7,4.2,48.900000000000006
5430.0,29.5,19.8,4.0,53.3
7914.0,31.0,19.4,4.8,55.2
5256.0,24.7,20.2,4.3,49.2
5574.0,28.3,20.0,3.7,52.0
8093.0,29.9,19.3,5.1,54.3
10851.0,18.3,17.8,3.5,39.6
5638.0,30.5,19.2,2.8,52.5
8404.0,32.3,16.9,4.6,53.8
8183.0,21.4,19.7,4.2,45.3
5791.0,27.2,19.2,4.1,50.5
10270.0,30.0,17.1,4.7,51.8
6835.0,22.0,19.1,5.1,46.2
5941.0,27.3,20.2,4.0,51.5
13479.0,28.2,17.3,4.5,50.0
9947.0,22.0,19.1,4.0,45.1
5947.0,27.5,19.3,3.7,50.5
6158.0,33.0,18.2,5.2,56.400000000000006
24502.0,20.5,18.9,3.9,43.3
5999.0,28.6,20.6,4.1,53.3
12052.0,29.4,20.0,4.6,54.0
9090.0,24.2,18.2,4.3,46.7
6060.0,32.1,17.5,3.9,53.5
8662.0,31.9,16.9,4.8,53.6
9005.0,22.4,19.6,4.2,46.2
6174.0,28.2,19.6,3.9,51.7
9118.0,31.0,18.0,4.8,53.8
9139.0,22.5,19.8,4.1,46.4
6380.0,28.2,19.6,4.1,51.9
11196.0,30.4,17.6,4.9,52.9
7190.0,23.9,20.0,4.3,48.2
6451.0,28.7,19.1,3.8,51.6
15584.0,28.9,16.7,4.9,50.49999999999999
9679.0,23.6,19.1,4.4,47.1
6513.0,30.4,19.0,4.4,53.8
8808.0,31.0,16.2,4.4,51.6
13632.0,22.7,19.2,4.0,45.9
6549.0,29.6,20.1,3.7,53.400000000000006
9052.0,34.4,18.8,5.3,58.5
13311.0,20.9,19.8,4.2,44.900000000000006
6602.0,27.7,19.2,4.1,51.0
14799.0,29.5,17.5,4.7,51.7
10106.0,19.1,19.6,3.9,42.6
6655.0,25.4,18.7,3.9,47.99999999999999
13797.0,26.8,19.4,4.9,51.1
4334.0,23.6,20.2,4.4,48.2
6694.0,28.8,18.1,4.3,51.2
12534.0,30.7,18.0,4.7,53.400000000000006
16717.0,24.2,15.9,4.2,44.3
6858.0,26.9,18.3,2.6,47.8
7341.0,30.7,19.9,5.3,55.89999999999999
4762.0,24.7,19.6,3.8,48.1
6915.0,31.3,18.9,4.5,54.7
11597.0,28.8,19.0,4.3,52.1
16080.0,19.8,19.0,3.9,42.7
7092.0,30.5,18.4,3.2,52.1
10666.0,28.8,18.0,5.0,51.8
16819.0,20.9,19.4,4.1,44.4
7134.0,29.6,18.9,4.3,52.8
12982.0,31.8,18.2,4.4,54.4
15562.0,19.3,20.3,4.7,44.3
7306.0,29.5,17.5,4.0,51.0
8614.0,29.0,18.9,5.7,53.6
7858.0,23.8,19.6,4.2,47.60000000000001
7582.0,28.7,18.2,4.0,50.9
12544.0,30.5,17.9,4.9,53.3
14524.0,20.3,19.7,3.7,43.7
7590.0,27.7,18.2,4.1,50.0
14319.0,29.3,16.5,4.8,50.6
10981.0,24.1,19.4,4.2,47.7
7598.0,30.4,18.5,4.0,52.9
9372.0,34.3,15.0,4.9,54.2
10225.0,22.6,19.8,4.3,46.7
7630.0,28.3,18.4,3.8,50.5
10597.0,30.6,17.3,5.2,53.10000000000001
11978.0,22.0,18.6,4.0,44.6
7967.0,27.4,18.7,4.6,50.7
10365.0,32.9,17.2,4.9,54.99999999999999
11567.0,22.8,19.6,4.4,46.8
8031.0,27.9,18.9,3.7,50.5
19276.0,28.0,17.6,5.1,50.7
11385.0,20.4,19.9,4.1,44.4
8130.0,26.7,19.2,3.8,49.7
11620.0,30.1,17.4,4.8,52.3
14784.0,21.1,18.3,4.4,43.8
8267.0,28.4,18.3,3.3,50.0
8070.0,32.2,18.4,4.5,55.1
11873.0,20.8,20.4,3.8,45.0
8294.0,28.3,17.3,2.7,48.3
12835.0,27.7,15.8,5.1,48.6
6023.0,20.4,20.8,3.5,44.7
8409.0,28.3,15.4,4.0,47.7
11480.0,29.0,19.0,4.8,52.8
20794.0,19.7,18.1,4.2,42.0
8726.0,25.0,18.8,4.4,48.2
10155.0,30.7,17.3,5.7,53.7
9039.0,22.5,19.8,4.4,46.7
8782.0,26.7,19.4,4.6,50.7
17731.0,30.1,15.2,4.7,50.0
22367.0,20.6,19.6,3.7,43.900000000000006
8899.0,28.2,19.2,3.9,51.3
11616.0,30.2,18.4,4.9,53.49999999999999
9088.0,21.4,18.1,4.5,44.0
9090.0,26.5,18.4,3.3,48.2
12996.0,27.9,16.5,5.1,49.5
13391.0,20.8,19.2,4.1,44.1
9239.0,26.3,18.9,3.8,49.0
14264.0,28.7,17.0,4.6,50.3
10263.0,20.4,20.1,4.3,44.8
9243.0,26.9,19.1,3.8,49.8
24396.0,26.1,15.7,5.3,47.1
12514.0,20.2,19.2,4.5,43.9
9347.0,26.6,19.0,3.7,49.3
12391.0,30.5,17.6,4.8,52.9
11391.0,20.8,19.6,4.1,44.50000000000001
9521.0,25.4,19.3,3.8,48.5
12546.0,27.6,18.2,5.1,50.9
15530.0,20.6,19.4,4.2,44.2
9639.0,26.4,19.4,3.8,49.6
12110.0,30.1,18.1,4.6,52.8
16194.0,20.6,19.6,4.1,44.3
9736.0,26.0,19.3,3.9,49.2
13564.0,29.1,17.7,4.7,51.5
16615.0,20.7,18.5,3.9,43.1
9758.0,27.1,17.8,3.9,48.8
15566.0,26.3,18.3,4.9,49.5
15694.0,20.9,19.5,4.1,44.5
9831.0,26.5,19.1,3.8,49.4
14281.0,28.3,17.9,4.8,51.0
17694.0,21.7,18.1,4.1,43.9
9848.0,26.3,18.8,4.0,49.1
15666.0,27.7,17.1,4.6,49.4
13904.0,23.2,16.8,3.4,43.4
10139.0,25.3,18.1,3.4,46.8
14919.0,28.8,15.7,4.8,49.3
15901.0,20.0,19.0,4.0,43.0
10317.0,24.7,19.1,4.1,47.9
16942.0,28.5,16.0,4.4,48.9
6753.0,23.9,19.6,4.1,47.6
10367.0,27.5,18.2,3.6,49.3
24514.0,27.4,16.7,4.8,48.89999999999999
20595.0,23.0,18.6,3.9,45.5
10568.0,26.6,20.3,3.4,50.3
22380.0,29.6,16.4,4.5,50.5
39025.0,15.6,19.5,4.3,39.4
10620.0,22.8,23.0,3.3,49.1
13183.0,27.7,18.0,5.4,51.1
18560.0,20.2,19.0,4.2,43.400000000000006
10823.0,25.1,18.9,3.9,47.9
15117.0,27.7,17.3,5.1,50.1
16012.0,21.7,19.2,4.0,44.9
10883.0,23.6,18.8,3.7,46.10000000000001
14717.0,28.0,16.8,4.4,49.2
19038.0,19.2,19.4,4.1,42.7
11141.0,25.6,19.0,3.9,48.5
16617.0,27.7,17.8,4.8,50.3
17622.0,19.0,19.3,4.5,42.8
11658.0,25.6,19.2,3.9,48.7
18381.0,27.2,16.7,4.7,48.6
9866.0,19.1,22.6,3.9,45.6
11747.0,27.1,19.5,4.4,51.0
16988.0,28.0,17.4,5.0,50.4
16634.0,20.5,19.3,4.2,44.0
11925.0,25.6,19.0,3.9,48.5
21027.0,26.0,16.9,4.8,47.7
21413.0,18.8,19.9,4.0,42.7
12044.0,27.3,18.8,3.6,49.7
32093.0,27.9,12.4,4.7,45.0
7943.0,22.5,19.8,4.1,46.4
12061.0,24.8,18.9,3.8,47.5
25731.0,27.2,15.2,4.9,47.3
23749.0,18.0,18.9,4.2,41.1
12182.0,24.5,19.0,3.4,46.9
14192.0,27.0,19.0,4.5,50.5
6612.0,21.8,21.1,4.3,47.2
12396.0,24.1,20.0,4.3,48.4
25952.0,24.5,17.2,4.9,46.6
23511.0,18.0,19.8,3.7,41.5
12542.0,24.5,17.5,4.1,46.1
16211.0,26.7,17.5,5.3,49.5
22348.0,18.8,19.5,4.4,42.7
12597.0,25.2,18.0,3.9,47.1
20799.0,26.7,17.4,5.2,49.3
64395.0,18.4,16.1,3.9,38.4
12667.0,21.1,19.8,4.4,45.3
20123.0,26.3,19.5,4.4,50.2
23476.0,19.3,17.9,4.0,41.2
12709.0,23.9,19.7,3.1,46.7
16256.0,29.2,16.3,4.5,50.0
20025.0,19.7,19.5,4.1,43.3
13045.0,25.3,18.7,3.7,47.7
17312.0,27.9,17.1,4.7,49.7
21528.0,19.6,18.8,4.1,42.50000000000001
13084.0,25.0,18.5,3.9,47.4
18728.0,27.8,16.9,4.8,49.5
21451.0,18.5,19.0,4.0,41.5
13166.0,23.8,19.1,3.8,46.7
19178.0,27.4,16.9,4.4,48.7
23217.0,20.7,17.1,3.7,41.5
13198.0,25.1,18.4,3.4,46.9
17192.0,29.8,17.2,4.9,51.9
21546.0,18.2,17.7,3.7,39.6
13273.0,24.5,17.0,4.6,46.1
26353.0,29.1,16.4,4.7,50.2
21543.0,16.9,19.6,4.8,41.3
13405.0,27.4,14.7,2.9,44.99999999999999
19321.0,25.8,16.6,4.6,47.00000000000001
22221.0,19.3,18.1,3.9,41.3
13514.0,24.0,18.6,3.8,46.4
18873.0,26.2,17.8,4.5,48.5
20210.0,19.6,19.3,4.1,43.00000000000001
13611.0,24.5,19.6,3.3,47.4
24740.0,17.7,19.7,3.8,41.2
13659.0,24.2,18.0,3.5,45.7
17561.0,28.6,17.1,4.9,50.6
21552.0,19.2,19.5,4.0,42.7
13730.0,25.5,18.6,3.7,47.8
18751.0,26.9,17.9,4.7,49.5
24966.0,17.6,19.5,3.9,41.0
13745.0,23.7,18.4,3.6,45.7
20160.0,26.2,17.4,5.0,48.6
25538.0,19.9,18.4,3.2,41.5
13929.0,25.6,18.8,3.7,48.10000000000001
21032.0,26.7,16.4,4.3,47.39999999999999
35162.0,17.7,18.7,3.7,40.1
13953.0,22.5,19.2,4.2,45.900000000000006
22723.0,26.6,14.5,5.0,46.1
46587.0,19.9,16.0,3.6,39.5
14164.0,28.8,15.4,3.3,47.5
17699.0,30.8,13.1,4.6,48.5
13551.0,22.4,19.2,4.0,45.6
14414.0,26.7,18.3,3.7,48.7
25181.0,28.5,16.6,4.8,49.9
11921.0,21.1,19.1,4.1,44.3
14422.0,27.5,16.1,3.8,47.4
59282.0,22.9,16.1,4.9,43.9
23695.0,19.4,19.5,3.8,42.7
14786.0,22.7,19.0,4.0,45.7
20567.0,26.6,17.4,4.5,48.5
20734.0,19.7,18.8,4.0,42.5
15043.0,26.1,19.2,3.7,49.0
18317.0,29.4,17.0,4.8,51.2
24833.0,18.7,18.8,3.9,41.4
15308.0,26.4,17.5,2.8,46.7
24427.0,17.9,19.2,4.0,41.1
15492.0,24.4,18.5,4.0,46.9
22378.0,26.3,17.0,4.7,48.0
53440.0,19.4,18.9,3.7,42.0
15646.0,25.6,19.0,3.2,47.8
19664.0,31.2,17.7,4.3,53.2
30011.0,15.9,19.2,4.3,39.4
16017.0,25.6,17.6,3.7,46.900000000000006
23727.0,24.7,19.0,4.7,48.400000000000006
27807.0,20.4,17.1,3.3,40.8
16193.0,24.9,18.5,3.9,47.3
23212.0,27.6,15.1,4.7,47.400000000000006
33542.0,16.7,18.8,4.3,39.8
16238.0,24.0,18.3,3.2,45.5
20530.0,26.6,17.5,4.8,48.9
25940.0,18.5,18.8,4.1,41.4
16929.0,24.4,18.7,3.8,46.89999999999999
22769.0,27.2,17.0,4.5,48.7
29791.0,17.2,20.6,3.9,41.7
16986.0,25.3,18.4,3.3,47.0
28064.0,24.0,14.9,5.0,43.9
23890.0,18.5,18.1,3.8,40.4
17246.0,24.9,18.1,3.4,46.4
35445.0,26.5,15.1,4.5,46.1
28872.0,19.6,17.1,4.0,40.7
17552.0,24.2,17.9,3.9,45.99999999999999
20949.0,25.7,17.4,4.7,47.8
28886.0,19.4,17.7,3.8,40.89999999999999
17557.0,24.1,18.4,3.0,45.5
22700.0,27.7,17.0,4.6,49.3
48094.0,16.4,17.9,3.9,38.2
17867.0,21.4,19.8,3.7,44.900000000000006
22942.0,25.3,17.9,4.6,47.8
35044.0,17.0,19.2,3.7,39.900000000000006
17935.0,26.1,18.1,3.0,47.2
25016.0,27.3,16.6,5.0,48.900000000000006
60009.0,15.4,19.2,3.8,38.4
18038.0,22.0,18.4,4.2,44.6
17982.0,25.8,17.8,5.0,48.6
22388.0,19.2,18.0,3.4,40.6
18337.0,23.9,19.7,3.4,46.99999999999999
33932.0,22.5,19.0,5.4,46.9
5778.0,22.2,16.5,3.5,42.2
18764.0,21.0,17.5,4.8,43.3
12796.0,35.0,11.8,6.0,52.8
26010.0,17.2,20.8,4.8,42.8
18963.0,27.3,15.9,4.1,47.3
26195.0,25.1,17.8,3.8,46.7
27287.0,16.4,19.1,4.5,40.0
19494.0,20.8,18.4,4.0,43.2
25022.0,27.6,16.6,5.0,49.2
33437.0,17.4,18.0,3.8,39.2
19536.0,24.3,18.0,3.5,45.8
25407.0,24.1,18.8,4.5,47.400000000000006
33670.0,13.9,17.9,4.1,35.9
36314.0,16.5,19.6,4.2,40.3
20485.0,22.9,18.8,3.4,45.1
32520.0,24.7,18.0,4.8,47.5
29773.0,17.2,19.0,4.0,40.2
20567.0,22.9,18.6,3.6,45.1
27712.0,26.1,17.1,4.6,47.8
17678.0,18.7,20.8,4.5,44.0
20760.0,25.5,17.5,4.3,47.3
35621.0,17.2,18.5,3.9,39.6
21116.0,23.4,18.6,3.5,45.5
26586.0,25.9,16.5,4.8,47.2
20170.0,18.6,16.8,3.9,39.3
21272.0,23.3,17.3,2.5,43.1
33271.0,23.3,18.3,4.6,46.2
32985.0,18.5,18.5,3.8,40.8
21410.0,23.5,18.0,3.9,45.4
27255.0,27.5,16.1,4.5,48.1
23324.0,19.9,18.4,4.2,42.5
21484.0,23.1,18.4,2.9,44.4
38266.0,25.0,14.0,4.8,43.8
31633.0,18.1,19.6,4.1,41.8
21681.0,24.2,17.7,3.1,45.0
25161.0,24.4,18.7,4.6,47.7
27051.0,19.7,18.0,4.2,41.900000000000006
21857.0,22.5,18.1,3.4,44.0
33759.0,27.2,17.7,4.4,49.3
33736.0,16.5,18.7,4.2,39.400000000000006
22055.0,22.3,17.9,3.2,43.400000000000006
26950.0,28.5,14.1,4.9,47.5
37495.0,16.7,18.7,3.8,39.2
22112.0,23.0,18.2,3.0,44.2
32585.0,27.8,15.9,4.4,48.1
39769.0,20.2,15.0,3.8,39.0
22709.0,25.2,16.4,3.4,44.99999999999999
26892.0,28.9,17.5,4.8,51.2
34346.0,16.7,19.3,4.5,40.5
23096.0,23.5,17.9,3.8,45.2
29836.0,25.2,18.0,4.5,47.7
34194.0,17.7,18.1,4.2,40.0
23105.0,22.9,18.6,4.0,45.5
37604.0,25.3,17.2,4.6,47.1
26772.0,17.6,19.1,4.3,41.0
23365.0,21.5,19.3,3.9,44.7
26412.0,18.6,18.7,4.0,41.3
23420.0,23.5,18.0,3.5,45.0
37956.0,24.3,16.8,4.9,46.0
29824.0,17.3,18.7,3.7,39.7
23926.0,22.4,18.8,3.6,44.8
35838.0,17.5,17.8,3.8,39.1
23940.0,23.3,17.7,3.6,44.6
30319.0,23.9,17.0,5.0,45.9
40388.0,16.2,19.4,3.5,39.1
24082.0,21.7,17.1,4.2,43.0
27134.0,24.9,17.8,4.6,47.3
35752.0,17.2,18.4,3.9,39.49999999999999
24202.0,22.5,18.3,3.8,44.6
30052.0,27.1,16.0,4.4,47.5
21769.0,20.2,18.5,4.2,42.900000000000006
24280.0,22.5,18.6,4.2,45.3
67407.0,22.7,16.7,4.5,43.9
35238.0,19.9,17.4,3.8,41.1
24522.0,24.8,16.6,3.6,45.00000000000001
46794.0,26.4,14.8,5.0,46.2
34188.0,15.3,19.8,3.9,39.0
24543.0,21.9,18.7,3.9,44.49999999999999
31270.0,24.7,17.5,4.6,46.8
41249.0,20.4,16.1,4.0,40.5
25347.0,23.2,17.4,2.9,43.49999999999999
30574.0,25.4,17.1,5.1,47.6
15884.0,20.9,19.3,4.2,44.400000000000006
25471.0,23.5,17.5,3.9,44.9
52363.0,24.4,15.1,4.7,44.2
36096.0,17.6,17.8,4.1,39.50000000000001
26062.0,22.3,18.2,3.7,44.2
32135.0,25.5,15.9,4.5,45.9
37541.0,16.7,18.5,3.9,39.1
26208.0,22.3,18.1,3.9,44.3
31550.0,25.6,16.4,4.5,46.5
38298.0,17.3,18.0,3.8,39.1
26643.0,22.5,18.6,3.5,44.6
33164.0,25.9,16.6,4.5,47.0
46383.0,14.4,18.7,3.7,36.8
26848.0,25.4,17.8,2.8,46.0
30467.0,25.6,17.8,4.8,48.2
62608.0,15.5,18.0,4.2,37.7
27335.0,19.8,17.8,5.5,43.1
30134.0,26.0,19.8,4.8,50.6
42932.0,15.8,20.2,4.0,40.0
28117.0,23.2,16.9,3.3,43.39999999999999
49220.0,22.0,16.3,4.6,42.9
38514.0,18.0,17.2,3.9,39.1
28155.0,21.5,18.6,3.6,43.7
38395.0,23.8,16.6,4.7,45.10000000000001
40648.0,14.3,17.7,4.2,36.2
28294.0,23.5,18.1,3.6,45.2
66127.0,21.9,16.8,4.2,42.900000000000006
39338.0,16.0,18.4,4.0,38.4
28382.0,21.7,18.5,3.5,43.7
36972.0,25.1,16.4,4.7,46.2
41263.0,15.8,18.4,4.0,38.2
28668.0,22.2,17.7,3.6,43.5
34834.0,24.8,16.5,4.6,45.9
41290.0,16.1,18.5,3.9,38.5
