basari_sirasi,ayt_matematik,ayt_kimya,ayt_biyoloji,ayt_fizik,toplam_net
4861.0,39.4,12.4,12.1,12.1,76.0
3035.0,38.0,12.1,12.0,13.3,75.4
3863.0,38.5,12.8,12.0,13.3,76.6
2449.0,39.7,11.8,12.3,13.1,76.89999999999999
6205.0,35.2,11.2,11.5,13.2,71.10000000000001
3937.0,37.6,12.5,11.5,13.4,75.0
3646.0,39.7,11.8,11.8,11.9,75.2
3658.0,35.7,12.0,12.1,13.3,73.10000000000001
4061.0,38.4,12.5,11.5,13.3,75.7
4670.0,39.3,11.9,11.8,12.2,75.2
4344.0,35.0,11.7,12.0,13.1,71.8
4111.0,38.3,12.7,11.3,13.2,75.5
5178.0,39.0,11.9,12.1,12.0,75.0
6066.0,34.4,11.2,11.8,13.1,70.49999999999999
4574.0,38.1,12.5,11.5,13.0,75.1
5735.0,39.4,11.8,11.8,11.9,74.9
34638.0,22.0,11.8,11.8,10.2,55.8
4643.0,40.0,13.0,11.8,12.8,77.6
7471.0,38.8,11.8,11.8,11.5,73.89999999999999
2508.0,36.6,11.8,11.8,13.4,73.60000000000001
4679.0,38.4,12.4,11.8,13.4,76.0
6305.0,38.8,11.0,10.6,12.9,73.3
2887.0,37.9,12.2,12.4,13.4,75.89999999999999
4781.0,38.9,12.6,12.1,13.4,77.0
3455.0,39.4,12.4,12.4,12.7,76.9
3659.0,35.9,11.7,12.2,13.3,73.1
4832.0,38.1,12.5,11.4,13.3,75.3
6321.0,39.2,11.7,11.7,12.0,74.60000000000001
9295.0,33.0,10.9,11.5,12.8,68.2
4867.0,38.0,12.5,11.7,13.3,75.5
3591.0,39.4,12.6,11.9,12.8,76.7
4840.0,35.2,11.6,11.9,12.9,71.60000000000001
4973.0,38.3,12.3,11.1,13.3,75.0
6503.0,39.3,11.5,11.4,11.9,74.1
5725.0,34.9,11.4,11.8,13.1,71.19999999999999
5039.0,38.4,12.3,11.5,13.4,75.60000000000001
5056.0,39.3,11.9,11.9,12.2,75.3
5145.0,34.9,11.5,12.0,13.1,71.5
5090.0,38.1,12.4,11.4,13.3,75.2
4030.0,39.3,12.0,12.0,12.2,75.5
9296.0,32.8,11.8,11.8,13.1,69.49999999999999
6228.0,35.0,10.6,12.2,13.6,71.39999999999999
4978.0,38.3,12.5,11.9,13.6,76.3
4691.0,39.2,11.2,12.2,11.9,74.50000000000001
5290.0,35.2,11.6,12.0,13.2,72.0
5303.0,38.0,12.4,11.4,13.3,75.1
5159.0,39.2,11.9,11.9,12.1,75.1
7296.0,34.4,10.9,11.5,12.7,69.5
5437.0,37.6,12.6,11.4,12.9,74.5
6233.0,38.9,12.1,11.5,11.5,74.0
8262.0,34.0,11.1,11.6,13.0,69.7
5478.0,38.1,12.4,11.4,13.3,75.2
6131.0,39.1,11.9,11.8,12.3,75.1
4775.0,35.2,10.8,11.8,13.4,71.2
5199.0,34.7,11.5,11.9,12.9,71.0
5568.0,37.9,12.4,11.2,13.2,74.7
5949.0,39.1,11.7,11.7,11.8,74.3
4686.0,35.0,11.6,11.9,13.2,71.7
5741.0,38.2,12.1,11.3,13.3,74.9
7820.0,38.9,11.7,11.6,11.6,73.8
14749.0,32.8,11.1,11.9,13.2,69.0
5927.0,37.3,12.6,11.6,13.3,74.8
7153.0,39.4,11.5,11.3,10.9,73.10000000000001
4270.0,35.8,11.8,12.0,13.5,73.1
6062.0,37.8,12.5,11.3,13.1,74.69999999999999
7501.0,39.3,11.6,11.9,12.0,74.8
6399.0,34.2,11.5,11.8,13.1,70.6
6071.0,38.0,12.3,11.4,13.1,74.8
6490.0,39.2,11.7,11.7,12.0,74.60000000000001
9175.0,34.0,11.1,11.1,13.0,69.2
6158.0,37.5,12.2,11.8,13.1,74.6
6275.0,39.4,11.4,12.2,11.8,74.8
5109.0,34.6,11.3,12.1,13.0,71.0
5787.0,33.9,11.2,11.8,12.8,69.69999999999999
6258.0,37.6,12.1,11.3,13.1,74.1
6428.0,39.1,11.6,11.6,11.6,73.9
6639.0,33.5,11.3,11.8,12.9,69.5
6420.0,37.8,12.2,11.0,13.3,74.3
5476.0,39.1,11.7,12.0,11.8,74.6
6128.0,33.8,10.7,11.8,12.8,69.1
6493.0,36.4,12.0,11.8,13.6,73.8
6667.0,38.6,12.1,11.9,11.8,74.4
5947.0,34.8,11.3,11.5,12.9,70.5
6498.0,37.9,12.3,11.0,13.0,74.2
9285.0,38.7,11.5,11.3,11.5,73.0
6545.0,34.2,11.3,11.7,13.0,70.2
6524.0,38.2,12.6,11.3,12.4,74.50000000000001
5026.0,39.2,11.6,11.5,11.9,74.2
5793.0,36.0,11.3,11.6,13.3,72.2
6542.0,38.3,11.8,11.2,13.7,75.0
5121.0,38.9,12.3,11.9,12.6,75.7
6727.0,33.2,11.2,11.3,12.5,68.2
6560.0,36.9,12.4,11.1,13.4,73.8
5521.0,38.9,11.9,11.6,11.8,74.2
4910.0,35.8,11.8,11.4,13.3,72.3
6666.0,38.1,12.4,11.0,13.0,74.5
10646.0,39.2,11.3,11.0,11.3,72.8
73278.0,21.0,7.2,9.8,10.2,48.2
6806.0,37.6,12.2,11.3,13.1,74.19999999999999
12716.0,38.0,11.5,10.1,11.9,71.5
6650.0,34.8,12.2,12.2,12.3,71.5
6809.0,37.7,11.8,9.7,13.2,72.4
7769.0,39.3,11.3,11.8,11.6,73.99999999999999
12531.0,32.9,10.5,11.5,13.0,67.9
6811.0,38.6,12.1,10.8,13.1,74.6
6310.0,34.4,11.5,11.7,13.1,70.69999999999999
6838.0,38.0,12.3,11.0,13.2,74.5
8078.0,39.0,11.6,11.5,11.8,73.9
14245.0,33.1,10.4,10.9,12.6,67.0
6884.0,38.5,11.9,10.7,13.2,74.3
5678.0,39.2,11.8,11.4,11.6,74.0
7583.0,34.5,11.1,11.7,12.9,70.2
6885.0,37.8,12.1,11.1,13.3,74.3
7269.0,38.9,11.6,11.8,11.7,74.0
20538.0,31.6,10.9,11.2,12.4,66.10000000000001
6897.0,37.8,12.2,10.5,13.4,73.9
8482.0,38.6,11.3,11.5,11.5,72.9
7320.0,33.4,11.1,11.8,12.8,69.1
7276.0,37.5,12.2,11.1,13.3,74.10000000000001
7173.0,38.9,11.8,11.7,11.6,74.0
10901.0,32.7,10.7,11.4,12.7,67.5
7387.0,37.5,12.3,11.1,13.2,74.1
7006.0,39.1,11.5,11.7,12.0,74.3
11721.0,34.4,9.6,10.8,12.6,67.39999999999999
7512.0,37.5,12.5,11.0,13.5,74.5
6489.0,38.8,11.9,11.1,11.1,72.89999999999999
6762.0,34.5,11.2,11.6,12.8,70.10000000000001
7662.0,37.2,11.9,11.1,13.2,73.4
10180.0,38.6,11.5,11.1,11.3,72.5
14670.0,30.5,8.8,9.5,14.0,62.8
7746.0,38.8,11.8,10.5,12.3,73.39999999999999
11801.0,38.3,11.8,10.9,11.1,72.1
8734.0,32.9,11.3,11.8,13.6,69.6
7853.0,36.3,11.8,11.6,12.5,72.19999999999999
11153.0,38.1,10.4,12.6,10.9,72.0
7571.0,33.2,11.2,11.6,12.8,68.80000000000001
8012.0,37.6,12.1,10.8,13.1,73.6
8780.0,38.9,11.5,11.5,11.4,73.3
9162.0,33.1,10.8,11.5,12.8,68.2
8111.0,37.5,12.3,11.0,13.0,73.8
11027.0,38.6,11.1,11.1,11.4,72.2
13450.0,32.8,11.0,11.5,12.7,68.0
8126.0,37.9,12.4,11.4,13.1,74.8
6177.0,39.4,11.9,11.5,12.0,74.8
9025.0,34.0,11.1,11.7,12.7,69.5
8302.0,38.1,12.2,11.0,12.9,74.2
7549.0,39.4,11.8,11.6,11.7,74.5
10795.0,33.3,11.0,11.4,12.9,68.6
8381.0,37.7,12.1,11.1,13.1,74.0
9617.0,38.8,11.4,11.5,11.8,73.5
8071.0,33.0,11.0,11.8,12.5,68.3
8437.0,37.7,12.2,11.0,13.1,74.0
8079.0,38.9,11.5,11.6,11.7,73.7
8580.0,33.4,10.9,11.7,12.8,68.8
8458.0,37.5,12.2,11.0,13.0,73.7
8295.0,39.0,11.6,11.6,11.7,73.9
7769.0,34.0,11.7,11.6,13.1,70.4
8495.0,37.1,12.0,11.2,13.3,73.6
10223.0,38.5,11.3,10.8,11.6,72.19999999999999
8917.0,33.8,9.7,11.4,12.6,67.5
8517.0,37.1,12.2,11.0,13.5,73.8
7876.0,39.2,11.9,11.5,11.5,74.1
7572.0,33.8,11.8,12.4,13.1,71.1
8541.0,37.2,13.0,10.5,13.4,74.10000000000001
23134.0,27.2,9.1,11.4,13.2,60.89999999999999
8578.0,36.3,11.1,12.4,14.0,73.8
13319.0,38.8,11.8,10.5,11.6,72.69999999999999
7310.0,34.0,11.3,11.7,13.0,70.0
8660.0,37.2,12.2,11.1,13.1,73.60000000000001
13604.0,38.5,11.3,10.9,11.3,72.0
9937.0,31.7,9.8,12.2,12.3,66.0
8948.0,38.3,12.2,10.1,12.3,72.9
10462.0,38.8,11.6,10.9,11.2,72.5
11700.0,32.5,10.6,11.4,12.7,67.2
8974.0,37.1,12.1,10.7,13.1,73.0
10677.0,38.9,11.3,10.9,11.6,72.7
8201.0,33.0,11.1,11.7,12.7,68.5
9220.0,37.0,11.8,11.1,13.0,72.9
10291.0,38.6,11.2,11.4,11.5,72.69999999999999
9627.0,32.5,10.9,11.6,12.7,67.7
9449.0,37.0,12.0,10.9,13.2,73.1
9880.0,38.8,11.4,11.5,11.3,73.0
12336.0,34.0,10.3,10.8,11.8,66.89999999999999
9460.0,37.8,12.3,10.3,12.8,73.19999999999999
7725.0,39.2,11.0,11.4,12.0,73.6
8566.0,33.5,10.1,11.3,12.0,66.9
9476.0,37.5,12.5,10.2,13.0,73.2
10845.0,38.1,10.9,11.9,11.1,72.0
18769.0,30.1,10.7,10.8,12.9,64.5
9573.0,37.0,12.1,10.9,13.1,73.1
11482.0,38.6,11.2,11.4,11.2,72.39999999999999
13973.0,31.8,10.5,11.2,12.6,66.1
9764.0,37.4,11.9,10.7,13.1,73.1
9926.0,38.8,11.3,11.4,11.7,73.19999999999999
16190.0,31.5,10.1,11.2,11.8,64.6
9765.0,37.5,12.4,10.9,13.2,74.0
9748.0,39.2,11.1,10.5,12.0,72.80000000000001
9745.0,30.7,11.3,11.8,12.7,66.5
9808.0,37.1,12.2,11.0,13.1,73.39999999999999
10306.0,38.5,11.1,11.5,11.3,72.4
7430.0,34.0,11.3,11.7,13.1,70.1
9886.0,37.3,12.1,10.8,13.1,73.3
13032.0,38.6,11.2,11.0,11.3,72.1
12286.0,32.7,10.7,11.7,12.6,67.7
10158.0,37.0,11.7,11.3,13.2,73.2
9476.0,38.7,11.6,11.5,11.6,73.4
9716.0,31.9,11.1,11.6,12.5,67.1
10277.0,36.4,11.8,10.6,13.1,71.9
10993.0,38.4,11.4,11.1,11.3,72.2
10165.0,32.6,10.7,11.6,12.7,67.6
10339.0,37.0,12.0,10.8,12.9,72.7
10541.0,38.7,11.5,11.5,11.3,73.0
7721.0,33.2,11.0,11.8,13.0,69.0
10348.0,37.1,12.0,10.8,13.1,73.0
15860.0,38.2,11.0,10.5,11.2,70.9
13485.0,32.2,10.5,11.2,12.8,66.7
10400.0,37.0,12.0,11.1,12.8,72.9
11746.0,39.0,11.1,11.0,11.3,72.4
9287.0,31.4,10.8,11.8,12.9,66.9
10427.0,36.8,11.8,10.5,12.6,71.69999999999999
12455.0,38.9,11.4,11.8,10.6,72.69999999999999
10484.0,32.4,10.1,11.6,12.9,67.0
10429.0,37.4,12.1,9.9,12.3,71.7
10002.0,38.6,11.6,11.5,10.6,72.3
8956.0,32.4,10.9,11.8,12.8,67.89999999999999
10594.0,36.7,12.2,10.8,13.2,72.9
16496.0,38.6,10.1,10.8,10.8,70.3
13746.0,30.8,11.3,11.8,12.6,66.5
10699.0,36.3,12.4,10.7,12.7,72.1
6659.0,38.6,11.8,12.5,11.3,74.2
18246.0,30.5,9.4,10.4,12.6,62.9
10798.0,37.0,12.4,10.2,13.5,73.1
11357.0,38.7,11.4,11.3,10.9,72.30000000000001
10779.0,31.8,10.6,11.5,13.1,67.0
10897.0,37.3,12.7,11.0,12.9,73.9
12958.0,39.1,10.6,10.1,12.1,71.9
19139.0,30.7,9.9,10.8,12.7,64.10000000000001
10935.0,37.2,12.4,10.3,12.6,72.5
8619.0,39.4,10.5,11.9,11.7,73.5
10612.0,32.6,10.9,11.6,12.7,67.8
10995.0,36.9,11.9,10.7,13.0,72.5
10763.0,38.9,11.6,11.5,11.4,73.4
11535.0,32.3,10.7,11.5,12.6,67.1
11149.0,36.8,12.0,10.8,12.9,72.5
11774.0,38.8,11.3,11.2,11.4,72.7
13564.0,32.2,10.8,11.4,12.6,67.0
11378.0,36.3,11.9,11.0,12.7,71.89999999999999
15189.0,38.2,10.9,11.0,10.8,70.9
10386.0,32.4,10.2,10.7,13.2,66.5
11455.0,36.6,11.8,10.5,13.4,72.30000000000001
12814.0,39.3,10.3,11.1,10.6,71.3
11733.0,32.4,10.9,11.2,12.6,67.1
11527.0,36.9,11.8,10.5,12.9,72.10000000000001
15537.0,38.2,10.8,10.9,10.9,70.8
24963.0,28.2,10.4,11.1,12.1,61.8
11598.0,36.8,11.9,10.7,13.3,72.69999999999999
8205.0,39.2,11.2,11.2,12.0,73.60000000000001
25986.0,27.7,9.7,10.7,11.8,59.89999999999999
11610.0,36.7,11.6,11.0,13.1,72.4
12308.0,39.1,10.9,11.0,11.4,72.4
17383.0,30.9,10.3,10.8,12.6,64.6
11627.0,37.3,11.8,10.6,13.1,72.8
13889.0,38.3,11.1,11.1,11.5,72.0
11324.0,32.4,11.3,11.0,12.6,67.3
11720.0,35.7,11.8,11.3,12.9,71.7
11823.0,38.1,10.9,11.4,11.1,71.5
10321.0,31.8,11.0,11.9,12.7,67.39999999999999
11853.0,36.4,11.8,10.6,13.0,71.80000000000001
12103.0,38.6,11.1,11.3,11.4,72.4
11277.0,32.1,10.7,11.4,12.8,67.0
11876.0,36.8,12.0,10.7,12.9,72.4
10788.0,38.7,11.5,11.6,11.4,73.2
9589.0,33.4,11.1,11.4,12.9,68.8
11881.0,37.3,11.7,10.6,13.0,72.6
19614.0,38.4,10.8,10.2,10.6,70.0
15094.0,30.7,10.4,11.3,12.5,64.9
11920.0,36.6,11.8,10.9,13.1,72.4
13437.0,38.7,11.2,10.9,11.0,71.80000000000001
9610.0,32.8,11.1,11.8,12.6,68.3
11921.0,36.3,11.9,10.9,12.9,72.0
18184.0,38.0,11.1,10.5,10.5,70.1
12201.0,32.6,10.7,11.6,12.9,67.8
11955.0,36.9,11.9,10.8,12.8,72.39999999999999
8856.0,39.2,11.6,11.8,12.3,74.9
10139.0,32.2,10.0,11.6,12.8,66.60000000000001
11975.0,34.8,12.5,10.1,13.1,70.5
12880.0,38.4,11.3,11.6,10.1,71.4
12900.0,32.7,11.5,11.2,13.3,68.7
12057.0,36.2,11.8,11.1,13.4,72.5
13251.0,38.8,11.1,11.1,10.8,71.8
12236.0,31.5,10.5,11.5,12.6,66.1
12062.0,35.9,11.9,10.8,12.9,71.5
12314.0,38.4,11.1,11.2,11.1,71.8
19015.0,29.8,11.2,11.2,11.7,63.900000000000006
12117.0,35.3,12.2,10.8,13.2,71.5
10587.0,38.8,11.1,12.2,11.1,73.19999999999999
12558.0,31.6,10.4,11.4,12.8,66.2
12119.0,36.9,11.6,10.7,12.7,71.9
8991.0,39.1,11.5,11.6,11.5,73.7
12817.0,31.1,12.4,11.1,13.1,67.7
12140.0,36.8,11.3,10.1,12.8,71.0
12730.0,38.6,11.2,9.8,11.6,71.19999999999999
24264.0,30.7,9.5,10.0,11.5,61.7
12145.0,36.7,12.1,10.9,12.8,72.5
10276.0,38.4,11.3,11.0,11.0,71.7
13177.0,32.0,10.8,11.5,12.5,66.8
12228.0,37.2,12.3,10.3,13.0,72.8
11101.0,39.1,11.8,11.5,11.2,73.60000000000001
120511.0,19.2,7.3,8.8,7.8,43.1
12235.0,37.4,11.9,10.1,13.5,72.9
30872.0,36.0,9.7,10.4,9.8,65.9
12683.0,31.6,10.7,11.3,12.4,66.0
12324.0,36.6,11.7,10.6,12.9,71.8
12050.0,38.6,11.1,11.3,11.2,72.2
11318.0,30.3,10.6,11.4,12.5,64.8
12325.0,36.9,11.8,10.1,13.0,71.80000000000001
11341.0,38.3,11.4,11.5,11.2,72.39999999999999
18131.0,31.6,10.2,11.1,12.1,65.0
12380.0,37.6,12.0,9.4,13.2,72.2
12833.0,38.5,10.6,11.3,11.2,71.60000000000001
14565.0,31.0,12.2,9.7,11.9,64.80000000000001
12522.0,38.2,10.9,10.5,13.6,73.2
14237.0,38.4,11.3,10.9,9.8,70.4
17942.0,30.5,10.7,11.1,12.2,64.5
12541.0,35.7,12.2,11.0,12.9,71.80000000000001
16625.0,38.3,11.1,10.2,10.7,70.3
18714.0,31.5,9.5,8.9,12.0,61.9
12784.0,37.7,11.5,8.8,13.4,71.4
17820.0,38.0,10.7,11.1,10.8,70.60000000000001
22181.0,30.5,10.6,11.1,12.6,64.8
12934.0,36.6,11.7,10.4,13.1,71.8
13655.0,38.5,11.5,10.8,11.3,72.1
15359.0,31.8,10.8,11.0,13.0,66.6
13034.0,37.9,11.6,10.1,12.5,72.1
21059.0,37.5,10.7,9.2,11.3,68.7
13176.0,31.4,10.5,11.3,12.4,65.60000000000001
13058.0,36.4,11.6,10.5,12.9,71.4
13061.0,38.5,11.2,11.3,11.2,72.2
10925.0,31.7,10.8,11.3,12.5,66.3
13135.0,36.4,11.7,10.5,12.8,71.39999999999999
12257.0,38.0,11.6,11.5,10.9,72.0
19569.0,29.3,9.7,11.3,12.5,62.8
13139.0,36.6,12.0,9.8,13.3,71.7
12369.0,38.8,11.5,10.5,11.1,71.89999999999999
11519.0,31.4,10.5,11.5,12.3,65.7
13217.0,35.6,11.3,10.5,12.6,70.0
13336.0,37.9,11.2,10.8,11.2,71.1
11890.0,29.1,9.4,11.5,12.8,62.8
13379.0,36.3,12.3,9.8,12.8,71.19999999999999
14346.0,38.0,11.0,11.4,11.3,71.7
11438.0,30.3,10.6,11.6,13.2,65.7
13423.0,34.8,11.4,10.8,12.7,69.7
13318.0,37.9,11.2,11.7,11.0,71.8
13250.0,31.6,10.6,11.3,12.5,66.0
13616.0,36.5,11.7,10.4,12.8,71.4
14222.0,38.4,11.1,11.2,11.1,71.8
13487.0,31.0,10.3,11.2,12.2,64.7
13738.0,36.2,11.5,10.1,12.7,70.5
14125.0,38.6,11.3,10.7,10.9,71.50000000000001
13324.0,31.2,10.4,11.3,12.6,65.5
13831.0,35.6,12.0,10.5,12.9,71.0
14450.0,38.3,11.1,11.1,10.9,71.4
16052.0,32.2,10.4,11.6,12.6,66.8
14017.0,36.8,11.7,10.6,13.0,72.1
9761.0,38.9,11.6,11.4,11.9,73.8
23272.0,29.7,9.7,10.2,12.2,61.8
14246.0,36.0,11.8,10.4,12.9,71.1
15816.0,38.3,11.0,10.5,11.2,71.0
17132.0,30.4,10.5,11.0,12.5,64.4
