basari_sirasi,ayt_dil,toplam_net
8346.0,77.5,77.5
6113.0,75.0,75.0
7063.0,4.47,4.47
8537.0,73.9,73.9
8896.0,73.2,73.2
6772.0,4.52,4.52
8568.0,75.0,75.0
8008.0,73.7,73.7
5585.0,3.05,3.05
8636.0,74.4,74.4
8075.0,74.8,74.8
6705.0,3.25,3.25
8659.0,70.8,70.8
10540.0,73.2,73.2
7229.0,1.39,1.39
8736.0,75.0,75.0
7661.0,74.5,74.5
6014.0,3.18,3.18
9229.0,73.2,73.2
10012.0,73.0,73.0
7583.0,4.58,4.58
9248.0,76.1,76.1
8387.0,74.3,74.3
6594.0,1.01,1.01
9285.0,74.3,74.3
7803.0,74.0,74.0
7049.0,4.77,4.77
9287.0,74.8,74.8
11192.0,73.7,73.7
5699.0,1.97,1.97
9400.0,73.6,73.6
9379.0,75.0,75.0
7727.0,76.2,76.2
9415.0,77.3,77.3
9753.0,74.5,74.5
8709.0,1.69,1.69
9743.0,74.2,74.2
11399.0,71.6,71.6
8253.0,1.94,1.94
9781.0,71.8,71.8
10364.0,71.7,71.7
12706.0,3.89,3.89
10122.0,73.9,73.9
15782.0,74.1,74.1
15057.0,1.7,1.7
10366.0,74.0,74.0
9718.0,73.2,73.2
9709.0,4.49,4.49
10478.0,74.3,74.3
11650.0,72.1,72.1
7565.0,2.99,2.99
10652.0,73.1,73.1
10061.0,73.0,73.0
8432.0,3.9,3.9
10794.0,73.3,73.3
10793.0,73.0,73.0
8187.0,1.81,1.81
10964.0,73.6,73.6
12055.0,72.0,72.0
7611.0,4.56,4.56
11219.0,73.4,73.4
11074.0,72.3,72.3
8635.0,1.95,1.95
11298.0,74.0,74.0
9951.0,73.0,73.0
9876.0,1.31,1.31
11311.0,74.1,74.1
11521.0,72.6,72.6
8686.0,75.0,75.0
11332.0,72.7,72.7
13437.0,72.0,72.0
9232.0,2.39,2.39
11403.0,71.7,71.7
11385.0,70.7,70.7
9964.0,4.94,4.94
11558.0,70.8,70.8
11844.0,74.3,74.3
11319.0,4.73,4.73
11576.0,73.8,73.8
11257.0,73.4,73.4
9370.0,1.27,1.27
11791.0,71.8,71.8
8657.0,74.3,74.3
8525.0,2.28,2.28
12141.0,73.2,73.2
11661.0,72.2,72.2
36174.0,4.11,4.11
12471.0,75.2,75.2
19658.0,71.8,71.8
8993.0,78.1,78.1
12598.0,73.2,73.2
12186.0,72.5,72.5
10910.0,4.55,4.55
12823.0,72.7,72.7
13909.0,72.0,72.0
9762.0,1.92,1.92
12827.0,71.4,71.4
12065.0,71.3,71.3
11338.0,2.8,2.8
12869.0,74.0,74.0
12194.0,73.0,73.0
10036.0,1.6,1.6
12977.0,72.3,72.3
13161.0,73.3,73.3
12851.0,3.69,3.69
13220.0,72.3,72.3
13769.0,71.4,71.4
16158.0,4.38,4.38
13441.0,73.3,73.3
9469.0,76.1,76.1
12305.0,4.4,4.4
13593.0,73.6,73.6
14027.0,71.7,71.7
11599.0,71.2,71.2
13711.0,73.7,73.7
13215.0,73.3,73.3
11900.0,2.05,2.05
13801.0,74.0,74.0
14432.0,73.0,73.0
10953.0,1.44,1.44
13963.0,72.8,72.8
15304.0,70.9,70.9
12836.0,4.41,4.41
14099.0,73.5,73.5
11052.0,71.4,71.4
10814.0,4.17,4.17
14175.0,70.5,70.5
13744.0,70.6,70.6
9539.0,4.51,4.51
14311.0,71.5,71.5
13455.0,71.9,71.9
12348.0,2.55,2.55
14407.0,72.6,72.6
14604.0,71.4,71.4
13809.0,2.97,2.97
14521.0,73.6,73.6
14462.0,72.7,72.7
12974.0,3.45,3.45
14650.0,69.9,69.9
8758.0,71.7,71.7
13731.0,77.8,77.8
14695.0,73.7,73.7
11986.0,74.6,74.6
10524.0,4.31,4.31
14827.0,70.9,70.9
12392.0,72.3,72.3
11843.0,2.17,2.17
15960.0,3.16,3.16
15227.0,73.3,73.3
15212.0,71.8,71.8
13312.0,3.61,3.61
15239.0,71.0,71.0
17248.0,70.4,70.4
10983.0,4.83,4.83
15509.0,71.6,71.6
14795.0,69.9,69.9
13985.0,4.0,4.0
15556.0,74.5,74.5
13275.0,74.4,74.4
10932.0,1.47,1.47
15560.0,71.5,71.5
14465.0,71.7,71.7
14688.0,3.25,3.25
15611.0,74.2,74.2
12396.0,4.13,4.13
15634.0,71.9,71.9
14964.0,72.1,72.1
12772.0,3.32,3.32
15652.0,72.0,72.0
15067.0,70.6,70.6
15256.0,1.92,1.92
15713.0,72.2,72.2
14864.0,72.3,72.3
12427.0,3.03,3.03
15724.0,68.5,68.5
12685.0,70.8,70.8
15898.0,4.71,4.71
14318.0,4.05,4.05
15895.0,72.4,72.4
14235.0,72.2,72.2
13326.0,3.0,3.0
15955.0,72.0,72.0
13134.0,72.0,72.0
35600.0,4.32,4.32
16116.0,67.0,67.0
15091.0,3.98,3.98
16143.0,74.0,74.0
14391.0,74.7,74.7
13877.0,1.0,1.0
16175.0,70.7,70.7
16920.0,69.4,69.4
12916.0,3.22,3.22
16324.0,72.2,72.2
18551.0,70.5,70.5
13388.0,1.35,1.35
16363.0,72.3,72.3
17265.0,69.3,69.3
13728.0,4.37,4.37
16420.0,70.1,70.1
12810.0,73.7,73.7
15111.0,1.73,1.73
16609.0,72.8,72.8
15472.0,71.4,71.4
16396.0,2.09,2.09
16753.0,72.4,72.4
15901.0,70.2,70.2
14546.0,4.19,4.19
16896.0,70.7,70.7
20342.0,68.0,68.0
14178.0,1.8,1.8
16918.0,71.9,71.9
17186.0,70.7,70.7
12158.0,1.37,1.37
17020.0,71.3,71.3
13614.0,71.3,71.3
18422.0,2.14,2.14
17031.0,72.4,72.4
16317.0,69.8,69.8
15600.0,2.73,2.73
17036.0,72.3,72.3
17620.0,71.1,71.1
18635.0,3.19,3.19
17102.0,68.9,68.9
15062.0,71.4,71.4
12766.0,2.46,2.46
17144.0,70.8,70.8
15867.0,70.6,70.6
12868.0,1.31,1.31
13378.0,3.61,3.61
13558.0,3.86,3.86
17388.0,71.0,71.0
15520.0,70.6,70.6
16266.0,1.16,1.16
17468.0,72.8,72.8
16903.0,73.1,73.1
13282.0,3.82,3.82
17548.0,72.1,72.1
19890.0,69.6,69.6
13799.0,3.96,3.96
17566.0,67.8,67.8
13624.0,71.9,71.9
24688.0,1.44,1.44
17616.0,72.1,72.1
5852.0,75.5,75.5
14245.0,1.0,1.0
17877.0,70.8,70.8
14434.0,69.7,69.7
15572.0,3.52,3.52
17953.0,71.1,71.1
19699.0,69.5,69.5
15561.0,4.96,4.96
17965.0,71.4,71.4
17281.0,70.5,70.5
16512.0,3.78,3.78
18011.0,69.7,69.7
17318.0,68.5,68.5
13220.0,1.64,1.64
18017.0,70.6,70.6
16015.0,69.1,69.1
67971.0,1.74,1.74
18033.0,67.5,67.5
17184.0,2.48,2.48
18202.0,69.6,69.6
14028.0,67.1,67.1
17176.0,4.82,4.82
18226.0,71.8,71.8
17414.0,71.0,71.0
15283.0,3.99,3.99
18294.0,70.9,70.9
17488.0,69.6,69.6
14009.0,2.05,2.05
18399.0,70.6,70.6
17777.0,70.0,70.0
18178.0,4.12,4.12
18575.0,70.9,70.9
17820.0,69.0,69.0
16531.0,3.72,3.72
18695.0,71.3,71.3
12769.0,71.7,71.7
15252.0,4.5,4.5
18802.0,69.4,69.4
19820.0,68.4,68.4
15245.0,76.2,76.2
18950.0,70.3,70.3
18019.0,70.6,70.6
16791.0,2.72,2.72
18489.0,1.53,1.53
19055.0,70.8,70.8
22359.0,69.3,69.3
21315.0,4.28,4.28
19077.0,71.8,71.8
19518.0,70.3,70.3
18625.0,1.13,1.13
19098.0,67.7,67.7
16011.0,69.6,69.6
14011.0,2.4,2.4
19100.0,69.1,69.1
17229.0,68.9,68.9
18120.0,80.0,80.0
19179.0,71.6,71.6
18434.0,69.7,69.7
19363.0,3.17,3.17
19308.0,70.5,70.5
19816.0,67.3,67.3
18331.0,3.67,3.67
19366.0,72.4,72.4
19790.0,68.9,68.9
14370.0,4.78,4.78
19389.0,68.8,68.8
17350.0,68.3,68.3
13832.0,4.37,4.37
19582.0,69.4,69.4
17579.0,69.0,69.0
18099.0,3.0,3.0
19930.0,72.5,72.5
18084.0,69.2,69.2
18279.0,3.44,3.44
19972.0,72.1,72.1
18737.0,2.36,2.36
20044.0,71.0,71.0
16596.0,4.94,4.94
19070.0,3.26,3.26
20263.0,68.9,68.9
19541.0,70.8,70.8
19226.0,4.5,4.5
18987.0,68.8,68.8
20534.0,70.8,70.8
20439.0,69.7,69.7
17551.0,4.75,4.75
20669.0,71.7,71.7
17925.0,67.6,67.6
14659.0,4.08,4.08
20748.0,67.8,67.8
18501.0,68.2,68.2
17495.0,3.23,3.23
20826.0,69.7,69.7
23556.0,66.0,66.0
15685.0,74.2,74.2
20860.0,69.1,69.1
17947.0,68.2,68.2
19253.0,4.15,4.15
20956.0,68.8,68.8
18335.0,2.16,2.16
20971.0,70.1,70.1
24230.0,66.2,66.2
20621.0,2.19,2.19
21054.0,70.5,70.5
23525.0,67.6,67.6
19694.0,1.77,1.77
21055.0,69.5,69.5
20034.0,68.0,68.0
18892.0,2.94,2.94
16503.0,2.4,2.4
21311.0,69.8,69.8
19932.0,69.1,69.1
16226.0,4.41,4.41
21426.0,66.7,66.7
19758.0,68.5,68.5
19601.0,2.44,2.44
21440.0,68.0,68.0
25049.0,63.4,63.4
19099.0,77.5,77.5
21591.0,72.3,72.3
23941.0,68.0,68.0
16262.0,2.2,2.2
21812.0,67.8,67.8
19913.0,67.2,67.2
20640.0,1.06,1.06
21859.0,69.7,69.7
19146.0,2.96,2.96
21877.0,70.9,70.9
23090.0,67.5,67.5
16804.0,1.23,1.23
21963.0,68.0,68.0
18520.0,68.7,68.7
17888.0,3.74,3.74
22050.0,69.9,69.9
23488.0,68.9,68.9
19510.0,1.73,1.73
22345.0,68.8,68.8
19321.0,71.1,71.1
20468.0,3.7,3.7
22448.0,69.1,69.1
21177.0,68.7,68.7
20406.0,1.05,1.05
22527.0,72.0,72.0
17419.0,69.8,69.8
17350.0,2.84,2.84
22654.0,69.5,69.5
19959.0,67.6,67.6
22313.0,4.77,4.77
22761.0,69.7,69.7
17285.0,1.38,1.38
22813.0,69.0,69.0
19346.0,68.3,68.3
31013.0,4.32,4.32
22863.0,71.7,71.7
26302.0,69.9,69.9
20634.0,4.73,4.73
22910.0,69.5,69.5
22103.0,68.3,68.3
19331.0,4.23,4.23
23017.0,64.0,64.0
21408.0,65.0,65.0
20296.0,4.75,4.75
23039.0,68.8,68.8
26248.0,65.1,65.1
19592.0,4.27,4.27
23068.0,68.1,68.1
20822.0,67.8,67.8
20759.0,2.69,2.69
23387.0,68.3,68.3
19579.0,67.6,67.6
21382.0,2.42,2.42
23839.0,68.0,68.0
22654.0,67.8,67.8
20737.0,2.92,2.92
20485.0,4.57,4.57
23915.0,69.1,69.1
21376.0,67.0,67.0
22224.0,2.63,2.63
24151.0,69.1,69.1
21292.0,67.1,67.1
19290.0,3.42,3.42
24189.0,66.9,66.9
21285.0,67.3,67.3
20365.0,75.0,75.0
24379.0,67.8,67.8
23325.0,66.7,66.7
20478.0,2.0,2.0
24718.0,67.6,67.6
23842.0,2.78,2.78
24970.0,69.1,69.1
19448.0,4.46,4.46
25075.0,65.8,65.8
21994.0,66.3,66.3
18919.0,2.09,2.09
25149.0,68.7,68.7
23502.0,72.3,72.3
21743.0,4.84,4.84
25262.0,69.1,69.1
26142.0,66.6,66.6
20427.0,3.62,3.62
25437.0,65.4,65.4
21648.0,66.1,66.1
20168.0,3.69,3.69
25512.0,66.1,66.1
22376.0,66.6,66.6
23617.0,4.43,4.43
25544.0,67.3,67.3
27106.0,65.7,65.7
22298.0,4.28,4.28
25750.0,69.8,69.8
23555.0,70.4,70.4
25730.0,3.48,3.48
25766.0,65.7,65.7
27422.0,70.3,70.3
22958.0,3.22,3.22
22779.0,2.22,2.22
23811.0,1.69,1.69
25923.0,68.7,68.7
30505.0,63.1,63.1
22177.0,3.72,3.72
26319.0,66.4,66.4
24488.0,65.1,65.1
20960.0,3.14,3.14
26346.0,66.2,66.2
23381.0,64.9,64.9
21963.0,1.73,1.73
26402.0,67.0,67.0
22651.0,67.7,67.7
23011.0,1.38,1.38
22714.0,2.17,2.17
26767.0,66.8,66.8
27212.0,63.3,63.3
23320.0,76.2,76.2
26882.0,67.9,67.9
26690.0,65.6,65.6
22356.0,68.8,68.8
26932.0,69.0,69.0
23915.0,1.77,1.77
27047.0,67.1,67.1
29362.0,63.1,63.1
21258.0,4.53,4.53
27201.0,65.7,65.7
24119.0,67.0,67.0
24933.0,1.83,1.83
27256.0,65.5,65.5
25104.0,66.7,66.7
23095.0,2.32,2.32
27265.0,66.7,66.7
25753.0,64.1,64.1
21588.0,3.86,3.86
27414.0,64.3,64.3
23685.0,64.2,64.2
28620.0,3.33,3.33
27513.0,68.1,68.1
23754.0,68.1,68.1
23090.0,74.0,74.0
27954.0,65.0,65.0
37351.0,62.2,62.2
23579.0,3.69,3.69
28011.0,66.4,66.4
21294.0,66.9,66.9
23080.0,3.32,3.32
28204.0,64.9,64.9
24345.0,66.2,66.2
22941.0,1.17,1.17
28347.0,64.8,64.8
24783.0,65.6,65.6
23307.0,4.77,4.77
28694.0,65.1,65.1
25252.0,64.6,64.6
25033.0,1.5,1.5
28724.0,68.0,68.0
28756.0,66.5,66.5
27352.0,2.76,2.76
28823.0,69.8,69.8
25269.0,68.9,68.9
24548.0,4.63,4.63
28923.0,64.4,64.4
22120.0,65.1,65.1
27620.0,2.07,2.07
29080.0,67.0,67.0
29077.0,63.7,63.7
35588.0,72.3,72.3
29145.0,68.5,68.5
31354.0,65.5,65.5
23553.0,3.52,3.52
29149.0,64.9,64.9
24951.0,65.3,65.3
30150.0,1.71,1.71
29192.0,69.1,69.1
26704.0,65.9,65.9
20918.0,4.08,4.08
29286.0,67.1,67.1
23895.0,3.46,3.46
29411.0,65.2,65.2
29714.0,66.7,66.7
23613.0,3.39,3.39
29422.0,64.4,64.4
24646.0,64.5,64.5
26280.0,3.03,3.03
29522.0,67.4,67.4
32318.0,62.0,62.0
26044.0,4.58,4.58
29603.0,63.9,63.9
33367.0,59.7,59.7
25297.0,4.5,4.5
29740.0,63.9,63.9
25364.0,64.0,64.0
26159.0,65.3,65.3
29811.0,64.5,64.5
30385.0,63.8,63.8
37413.0,3.14,3.14
29817.0,62.7,62.7
12079.0,76.3,76.3
28574.0,3.25,3.25
29843.0,66.9,66.9
30557.0,63.8,63.8
26399.0,71.9,71.9
29862.0,66.4,66.4
34464.0,63.5,63.5
26828.0,2.24,2.24
30088.0,66.6,66.6
29430.0,62.7,62.7
35127.0,1.51,1.51
30238.0,66.1,66.1
27750.0,67.2,67.2
24978.0,2.01,2.01
30306.0,62.2,62.2
25637.0,65.2,65.2
25536.0,1.04,1.04
30408.0,64.4,64.4
28646.0,63.1,63.1
29271.0,4.77,4.77
30638.0,65.0,65.0
32175.0,63.8,63.8
33784.0,1.69,1.69
30740.0,62.2,62.2
27637.0,1.92,1.92
30827.0,64.6,64.6
30692.0,61.4,61.4
27450.0,4.67,4.67
27028.0,2.95,2.95
30880.0,67.1,67.1
27680.0,64.8,64.8
27841.0,66.2,66.2
30940.0,65.5,65.5
30003.0,64.2,64.2
26961.0,1.22,1.22
31020.0,62.5,62.5
22331.0,66.7,66.7
29998.0,3.48,3.48
28183.0,73.5,73.5
31546.0,66.8,66.8
33257.0,63.9,63.9
31457.0,3.37,3.37
31566.0,65.6,65.6
33628.0,63.3,63.3
28321.0,4.75,4.75
32003.0,63.9,63.9
28686.0,62.5,62.5
28966.0,1.86,1.86
32382.0,63.1,63.1
30147.0,61.4,61.4
29260.0,2.47,2.47
29798.0,2.61,2.61
32878.0,61.7,61.7
34681.0,60.4,60.4
26123.0,4.29,4.29
32883.0,61.3,61.3
26085.0,63.8,63.8
26113.0,2.61,2.61
33116.0,62.5,62.5
24923.0,64.8,64.8
28878.0,2.44,2.44
33174.0,69.3,69.3
30123.0,70.2,70.2
27252.0,2.26,2.26
33179.0,61.8,61.8
26785.0,61.3,61.3
31141.0,1.83,1.83
33276.0,64.0,64.0
29245.0,64.5,64.5
27752.0,1.03,1.03
33303.0,68.8,68.8
25758.0,71.7,71.7
28642.0,2.2,2.2
30726.0,3.28,3.28
33666.0,65.6,65.6
32276.0,55.0,55.0
21470.0,1.8,1.8
33682.0,65.9,65.9
40410.0,65.6,65.6
28258.0,2.54,2.54
33978.0,60.3,60.3
27035.0,62.9,62.9
31010.0,4.69,4.69
31917.0,67.5,67.5
34228.0,64.8,64.8
33753.0,62.4,62.4
30784.0,4.1,4.1
34441.0,64.0,64.0
31743.0,61.8,61.8
30804.0,2.25,2.25
34607.0,63.4,63.4
38398.0,57.2,57.2
30456.0,2.12,2.12
34688.0,63.5,63.5
32529.0,62.6,62.6
30600.0,3.47,3.47
34745.0,60.3,60.3
30311.0,60.5,60.5
32946.0,75.0,75.0
35072.0,63.2,63.2
37337.0,60.7,60.7
32002.0,3.55,3.55
31187.0,2.92,2.92
35090.0,62.7,62.7
33786.0,58.6,58.6
32478.0,3.0,3.0
35256.0,63.4,63.4
33800.0,60.8,60.8
38376.0,2.03,2.03
35378.0,66.7,66.7
30317.0,67.7,67.7
29410.0,1.51,1.51
35672.0,61.1,61.1
28305.0,61.4,61.4
31687.0,3.57,3.57
35772.0,63.9,63.9
35291.0,61.7,61.7
32582.0,2.12,2.12
35859.0,65.5,65.5
28344.0,64.3,64.3
36333.0,4.58,4.58
36289.0,62.9,62.9
35153.0,59.9,59.9
37268.0,1.01,1.01
40699.0,4.27,4.27
36925.0,64.8,64.8
38408.0,61.2,61.2
32328.0,4.79,4.79
37006.0,58.2,58.2
29242.0,60.7,60.7
32745.0,1.45,1.45
37098.0,61.8,61.8
34368.0,61.1,61.1
33527.0,2.64,2.64
37246.0,62.8,62.8
39301.0,59.5,59.5
32038.0,1.98,1.98
37276.0,59.3,59.3
29635.0,62.7,62.7
31788.0,73.8,73.8
37606.0,60.3,60.3
37518.0,58.0,58.0
32800.0,4.05,4.05
38078.0,62.5,62.5
38486.0,58.8,58.8
27385.0,2.62,2.62
33735.0,5.0,5.0
38104.0,63.4,63.4
35374.0,60.1,60.1
34132.0,1.12,1.12
38106.0,57.8,57.8
30496.0,60.6,60.6
34417.0,3.46,3.46
38121.0,59.9,59.9
33810.0,58.8,58.8
42282.0,73.8,73.8
38326.0,65.0,65.0
43195.0,61.7,61.7
38085.0,2.58,2.58
38345.0,62.6,62.6
41137.0,58.8,58.8
35872.0,4.2,4.2
38893.0,61.1,61.1
37318.0,58.4,58.4
43490.0,1.06,1.06
39080.0,67.4,67.4
23904.0,70.0,70.0
35841.0,2.05,2.05
39155.0,59.9,59.9
38625.0,56.8,56.8
33383.0,2.96,2.96
39157.0,59.6,59.6
35330.0,58.0,58.0
44619.0,4.41,4.41
39316.0,63.6,63.6
37446.0,60.8,60.8
33963.0,4.08,4.08
39354.0,60.4,60.4
35177.0,59.4,59.4
36824.0,73.8,73.8
39528.0,59.1,59.1
38112.0,57.5,57.5
41454.0,1.19,1.19
39568.0,60.7,60.7
40412.0,57.5,57.5
33278.0,4.64,4.64
39660.0,58.7,58.7
36061.0,57.2,57.2
37849.0,3.1,3.1
39741.0,59.8,59.8
32388.0,59.4,59.4
34522.0,1.88,1.88
43726.0,1.58,1.58
39920.0,61.0,61.0
43153.0,54.6,54.6
40008.0,4.3,4.3
39975.0,64.7,64.7
26621.0,66.4,66.4
36075.0,1.78,1.78
40177.0,59.5,59.5
36346.0,57.0,57.0
41647.0,3.94,3.94
40187.0,62.6,62.6
40453.0,61.5,61.5
37257.0,2.84,2.84
40663.0,57.3,57.3
32074.0,59.4,59.4
35300.0,3.55,3.55
40798.0,66.8,66.8
45055.0,52.3,52.3
74245.0,3.42,3.42
40910.0,62.3,62.3
96589.0,13.5,13.5
41099.0,1.31,1.31
41160.0,59.7,59.7
47781.0,52.3,52.3
35607.0,2.79,2.79
41564.0,60.0,60.0
37731.0,57.4,57.4
36178.0,3.76,3.76
40411.0,1.54,1.54
42675.0,59.8,59.8
39788.0,57.3,57.3
39621.0,4.84,4.84
42724.0,55.9,55.9
33744.0,58.5,58.5
36422.0,3.22,3.22
38711.0,2.41,2.41
43010.0,58.6,58.6
44133.0,56.5,56.5
46624.0,2.66,2.66
43296.0,59.0,59.0
44366.0,56.5,56.5
44349.0,4.22,4.22
43323.0,57.9,57.9
38915.0,63.2,63.2
40824.0,4.32,4.32
43357.0,60.8,60.8
49554.0,54.0,54.0
39499.0,2.93,2.93
40044.0,4.44,4.44
43611.0,56.1,56.1
42121.0,2.76,2.76
43701.0,57.3,57.3
38459.0,56.3,56.3
36832.0,2.79,2.79
43790.0,59.8,59.8
37420.0,58.8,58.8
43437.0,3.74,3.74
44134.0,57.4,57.4
44489.0,54.2,54.2
39352.0,4.5,4.5
44195.0,56.4,56.4
38043.0,56.0,56.0
45412.0,1.44,1.44
44266.0,56.8,56.8
38972.0,55.6,55.6
45462.0,3.46,3.46
44307.0,57.0,57.0
41644.0,57.7,57.7
44593.0,60.2,60.2
48097.0,52.5,52.5
39429.0,4.59,4.59
44709.0,55.8,55.8
39411.0,55.1,55.1
39288.0,4.77,4.77
44904.0,57.4,57.4
43256.0,55.0,55.0
52474.0,3.32,3.32
44950.0,61.7,61.7
43707.0,57.7,57.7
38742.0,2.97,2.97
45190.0,56.3,56.3
34231.0,60.8,60.8
69956.0,1.35,1.35
45266.0,60.5,60.5
40226.0,59.0,59.0
39956.0,3.64,3.64
40172.0,3.13,3.13
44021.0,63.8,63.8
45565.0,58.5,58.5
47416.0,51.0,51.0
40464.0,4.55,4.55
45662.0,54.7,54.7
40061.0,56.4,56.4
44082.0,4.6,4.6
45797.0,58.2,58.2
41980.0,57.5,57.5
44486.0,2.38,2.38
46288.0,54.7,54.7
46988.0,53.1,53.1
41576.0,3.47,3.47
46429.0,54.4,54.4
41000.0,53.7,53.7
44352.0,1.98,1.98
46769.0,55.3,55.3
45383.0,53.9,53.9
40328.0,4.36,4.36
46827.0,55.6,55.6
41569.0,53.4,53.4
51867.0,2.02,2.02
47989.0,58.5,58.5
47894.0,57.4,57.4
46345.0,3.19,3.19
48353.0,55.9,55.9
33713.0,60.0,60.0
40412.0,2.27,2.27
48547.0,58.5,58.5
46684.0,53.7,53.7
44389.0,4.79,4.79
48819.0,56.4,56.4
50468.0,48.6,48.6
46853.0,3.27,3.27
49388.0,61.3,61.3
26548.0,65.3,65.3
71192.0,2.39,2.39
49466.0,60.0,60.0
45986.0,59.2,59.2
44418.0,3.57,3.57
49500.0,52.3,52.3
43218.0,52.9,52.9
45054.0,1.8,1.8
49521.0,53.4,53.4
42752.0,54.5,54.5
38746.0,3.3,3.3
45398.0,2.37,2.37
49940.0,52.5,52.5
44329.0,50.2,50.2
43629.0,4.79,4.79
50135.0,53.2,53.2
46632.0,51.3,51.3
47258.0,1.19,1.19
50289.0,59.5,59.5
48248.0,3.76,3.76
50292.0,59.7,59.7
48982.0,54.4,54.4
48440.0,1.5,1.5
50537.0,57.3,57.3
50059.0,50.8,50.8
152676.0,1.33,1.33
50705.0,56.5,56.5
51230.0,49.5,49.5
45041.0,59.0,59.0
50805.0,55.1,55.1
47068.0,52.1,52.1
47485.0,3.96,3.96
50881.0,53.3,53.3
41671.0,54.3,54.3
46077.0,4.53,4.53
51320.0,57.9,57.9
57323.0,43.7,43.7
49522.0,3.37,3.37
51353.0,53.0,53.0
44164.0,52.1,52.1
60276.0,3.15,3.15
51564.0,55.4,55.4
49188.0,51.2,51.2
45940.0,4.43,4.43
51836.0,53.7,53.7
52898.0,49.5,49.5
42704.0,1.82,1.82
52335.0,57.7,57.7
36828.0,56.8,56.8
53143.0,4.14,4.14
52338.0,52.5,52.5
51356.0,48.0,48.0
51710.0,1.64,1.64
52353.0,57.9,57.9
47222.0,2.3,2.3
52497.0,53.1,53.1
52585.0,47.3,47.3
45008.0,2.17,2.17
52539.0,55.0,55.0
46315.0,3.53,3.53
52542.0,54.3,54.3
53483.0,47.6,47.6
49797.0,3.99,3.99
47923.0,1.68,1.68
52807.0,56.8,56.8
58527.0,52.6,52.6
54099.0,4.54,4.54
52889.0,56.5,56.5
58494.0,50.4,50.4
71462.0,4.24,4.24
53157.0,57.5,57.5
58624.0,44.5,44.5
48013.0,1.89,1.89
53776.0,50.5,50.5
49902.0,47.6,47.6
47928.0,4.35,4.35
54123.0,47.8,47.8
46125.0,48.5,48.5
48852.0,3.68,3.68
54425.0,51.5,51.5
51829.0,51.3,51.3
58389.0,2.39,2.39
54586.0,54.9,54.9
46664.0,58.7,58.7
66588.0,57.5,57.5
54628.0,55.3,55.3
51259.0,3.24,3.24
46630.0,1.75,1.75
54874.0,49.5,49.5
53874.0,4.12,4.12
54900.0,49.9,49.9
45428.0,50.5,50.5
53416.0,2.72,2.72
54960.0,55.4,55.4
54852.0,53.2,53.2
49776.0,2.24,2.24
55088.0,51.4,51.4
55105.0,47.2,47.2
58423.0,4.71,4.71
55207.0,56.2,56.2
49861.0,56.0,56.0
55656.0,59.2,59.2
55501.0,51.6,51.6
49893.0,48.1,48.1
51755.0,3.02,3.02
55516.0,51.7,51.7
54026.0,47.8,47.8
52684.0,2.49,2.49
55588.0,52.7,52.7
38150.0,56.4,56.4
